"Species","Year","Num_of_trees","sss"
"CAGL",1973,39,1
"CAGL",1974,39,1
"CAGL",1975,39,1
"CAGL",1976,39,1
"CAGL",1977,39,1
"CAGL",1978,39,1
"CAGL",1979,39,1
"CAGL",1980,39,1
"CAGL",1981,39,1
"CAGL",1982,39,1
"CAGL",1983,39,1
"CAGL",1984,39,1
"CAGL",1985,39,1
"CAGL",1986,39,1
"CAGL",1987,39,1
"CAGL",1988,39,1
"CAGL",1989,39,1
"CAGL",1990,39,1
"CAGL",1991,39,1
"CAGL",1992,39,1
"CAGL",1993,38,1
"CAGL",1994,38,1
"CAGL",1995,38,1
"CAGL",1996,38,1
"CAGL",1997,37,1
"CAGL",1998,36,1
"CAGL",1999,36,1
"CAGL",2000,36,1
"CAGL",2001,36,1
"CAGL",2002,35,1
"CAGL",2003,33,1
"CAGL",2004,33,1
"CAGL",2005,31,1
"CAGL",2006,30,1
"CAGL",2007,28,0.991
"CAGL",2008,25,0.975
"CAGL",2009,20,0.939
"CAGL",2010,7,0.702
"CAGL",2011,6,0.66
"CAGL",2012,6,0.66
"CAGL",2013,6,0.66
"CAGL",2014,5,0.608
"CAGL",2015,3,0.463
"CAGL",2016,1,0.211
"CAOVL",1884,1,0.296
"CAOVL",1885,1,0.296
"CAOVL",1886,1,0.296
"CAOVL",1887,1,0.296
"CAOVL",1888,1,0.296
"CAOVL",1889,1,0.296
"CAOVL",1890,2,0.468
"CAOVL",1891,2,0.468
"CAOVL",1892,4,0.661
"CAOVL",1893,5,0.72
"CAOVL",1894,5,0.72
"CAOVL",1895,6,0.765
"CAOVL",1896,7,0.802
"CAOVL",1897,7,0.802
"CAOVL",1898,7,0.802
"CAOVL",1899,8,0.831
"CAOVL",1900,9,0.856
"CAOVL",1901,9,0.856
"CAOVL",1902,9,0.856
"CAOVL",1903,9,0.856
"CAOVL",1904,9,0.856
"CAOVL",1905,9,0.856
"CAOVL",1906,9,0.856
"CAOVL",1907,10,0.877
"CAOVL",1908,10,0.877
"CAOVL",1909,10,0.877
"CAOVL",1910,10,0.877
"CAOVL",1911,10,0.877
"CAOVL",1912,10,0.877
"CAOVL",1913,10,0.877
"CAOVL",1914,10,0.877
"CAOVL",1915,11,0.894
"CAOVL",1916,11,0.894
"CAOVL",1917,13,0.923
"CAOVL",1918,14,0.935
"CAOVL",1919,14,0.935
"CAOVL",1920,15,0.945
"CAOVL",1921,16,0.955
"CAOVL",1922,16,0.955
"CAOVL",1923,17,0.963
"CAOVL",1924,17,0.963
"CAOVL",1925,18,0.971
"CAOVL",1926,19,0.978
"CAOVL",1927,19,0.978
"CAOVL",1928,20,0.984
"CAOVL",1929,20,0.984
"CAOVL",1930,21,0.99
"CAOVL",1931,22,0.995
"CAOVL",1932,22,0.995
"CAOVL",1933,22,0.995
"CAOVL",1934,22,0.995
"CAOVL",1935,22,0.995
"CAOVL",1936,22,0.995
"CAOVL",1937,22,0.995
"CAOVL",1938,22,0.995
"CAOVL",1939,22,0.995
"CAOVL",1940,23,1
"CAOVL",1941,23,1
"CAOVL",1942,23,1
"CAOVL",1943,24,1
"CAOVL",1944,24,1
"CAOVL",1945,24,1
"CAOVL",1946,24,1
"CAOVL",1947,24,1
"CAOVL",1948,24,1
"CAOVL",1949,24,1
"CAOVL",1950,24,1
"CAOVL",1951,25,1
"CAOVL",1952,25,1
"CAOVL",1953,25,1
"CAOVL",1954,25,1
"CAOVL",1955,25,1
"CAOVL",1956,25,1
"CAOVL",1957,25,1
"CAOVL",1958,25,1
"CAOVL",1959,25,1
"CAOVL",1960,25,1
"CAOVL",1961,25,1
"CAOVL",1962,25,1
"CAOVL",1963,25,1
"CAOVL",1964,25,1
"CAOVL",1965,25,1
"CAOVL",1966,25,1
"CAOVL",1967,25,1
