year	corrs	rbar	sdev	serr	eps 	cores
  1840.	     6.	  0.0626	  0.2455	  0.1002	  0.2320	   4.53
  1860.	    10.	  0.0976	  0.4232	  0.1338	  0.4738	   8.32
  1880.	    15.	  0.6229	  0.1475	  0.0381	  0.9709	  20.17
  1900.	   210.	  0.3292	  0.3053	  0.0211	  0.9461	  35.80
  1920.	   741.	  0.2153	  0.3545	  0.0130	  0.9322	  50.13
  1940.	  1176.	  0.1442	  0.3472	  0.0101	  0.9101	  60.08
  1960.	  1891.	  0.2052	  0.3512	  0.0081	  0.9431	  64.18
  1980.	  2080.	  0.1858	  0.3643	  0.0080	  0.9375	  65.78
