year	corrs	rbar	sdev	serr	eps 	cores
  1840.	     6.	  0.1759	  0.2568	  0.1049	  0.4913	   4.53
  1860.	    10.	  0.2194	  0.1568	  0.0496	  0.7005	   8.32
  1880.	    15.	  0.3417	  0.2799	  0.0723	  0.9128	  20.17
  1900.	   210.	  0.4182	  0.2256	  0.0156	  0.9626	  35.80
  1920.	   741.	  0.3119	  0.2420	  0.0089	  0.9578	  50.13
  1940.	  1176.	  0.2149	  0.2415	  0.0070	  0.9427	  60.08
  1960.	  1891.	  0.2539	  0.2489	  0.0057	  0.9562	  64.18
  1980.	  2080.	  0.1598	  0.2439	  0.0053	  0.9260	  65.78
