 num = number of series             ident = series identification
 ify = first year of time series      ily = last year of time series
 yfp = years from pith for rcs        itn = transform (>3 = power*1000)
 idt = series detrending options      ips = series ar model order options
 isb = stabilize variance options     icu = use (1) or do not use (0)
 ics = save (1) or do not save (0)    cpa = common period analysis series
                   -- do not delete these lines --
 num  ident      ify   ily   yfp   itn   idt   ips   isb   icu   ics   cpa
   1  110727    1975  2009     0     4   -67     0     0     1     1     0
   2  101136    1943  2009     0     4   -67     0     0     1     1     2
   3  100540    1931  2009     0     4   -67     0     0     1     1     3
   4  60143     1926  2010     0     4   -67     0     0     1     1     4
   5  60345     1934  2009     0     4   -67     0     0     1     1     5
   6  90529     1930  2009     0     4   -67     0     0     1     1     6
   7  100552    1953  2006     0     4   -67     0     0     1     1     0
   8  121186    1932  2009     0     4   -67     0     0     1     1     8
   9  131087    1930  2009     0     4   -67     0     0     1     1     9
  10  80330     1895  2009     0     4   -67     0     0     1     1    10
  11  182060    1942  2009     0     4   -67     0     0     1     1    11
  12  121329    1940  2009     0     4   -67     0     0     1     1    12
  13  180952    1917  2009     0     4   -67     0     0     1     1    13
  14  32516     1936  2009     0     4   -67     0     0     1     1    14
  15  92250A    1925  2010     0     4   -67     0     0     1     1    15
  16  50046     1944  2009     0     4   -67     0     0     1     1    16
  17  202496    1913  2009     0     4   -67     0     0     1     1    17
  18  42092     1920  2009     0     4   -67     0     0     1     1    18
  19  60522     1922  2009     0     4   -67     0     0     1     1    19
  20  82115     1934  2009     0     4   -67     0     0     1     1    20
  21  10636     1920  2009     0     4   -67     0     0     1     1    21
  22  120911A   1944  2016     0     4   -67     0     0     1     1    22
  23  52343A    1935  2017     0     4   -67     0     0     1     1    23
  24  192112A   1942  2016     0     4   -67     0     0     1     1    24
  25  202248A   1942  2017     0     4   -67     0     0     1     1    25
  26  112082    1939  2009     0     4   -67     0     0     1     1    26
