"Climate_data","variable","month","ANPP_response"
"CRU_SCBI_1901_2016","cld","curr.apr",0.000701351318626394
"CRU_SCBI_1901_2016","cld","curr.aug",0.0152001950131836
"CRU_SCBI_1901_2016","cld","curr.feb",0.0270449487680953
"CRU_SCBI_1901_2016","cld","curr.jan",0.0167369903662328
"CRU_SCBI_1901_2016","cld","curr.jul",0.063036440827168
"CRU_SCBI_1901_2016","cld","curr.jun",0.0676764611687577
"CRU_SCBI_1901_2016","cld","curr.mar",0.0482470330036267
"CRU_SCBI_1901_2016","cld","curr.may",0.0670491628706934
"CRU_SCBI_1901_2016","cld","prev.apr",0.0239600248557491
"CRU_SCBI_1901_2016","cld","prev.aug",0.0439744333912004
"CRU_SCBI_1901_2016","cld","prev.dec",0.0385673781418349
"CRU_SCBI_1901_2016","cld","prev.jul",-0.0384348980033032
"CRU_SCBI_1901_2016","cld","prev.jun",-0.02119217559173
"CRU_SCBI_1901_2016","cld","prev.may",-0.0886472579542572
"CRU_SCBI_1901_2016","cld","prev.nov",0.0839292111415663
"CRU_SCBI_1901_2016","cld","prev.oct",0.0196793655199085
"CRU_SCBI_1901_2016","cld","prev.sep",0.027121749003153
"CRU_SCBI_1901_2016","deficit","curr.apr",-0.0103862927807119
"CRU_SCBI_1901_2016","deficit","curr.aug",-0.0782683174112259
"CRU_SCBI_1901_2016","deficit","curr.feb",-0.0191234423172953
"CRU_SCBI_1901_2016","deficit","curr.jan",0.034101938806015
"CRU_SCBI_1901_2016","deficit","curr.jul",-0.0740909137334522
"CRU_SCBI_1901_2016","deficit","curr.jun",-0.0683259353805874
"CRU_SCBI_1901_2016","deficit","curr.mar",-0.0139236245081343
"CRU_SCBI_1901_2016","deficit","curr.may",-0.085649174870125
"CRU_SCBI_1901_2016","deficit","prev.apr",-0.00707019385360128
"CRU_SCBI_1901_2016","deficit","prev.aug",-0.0379129322568525
"CRU_SCBI_1901_2016","deficit","prev.dec",-0.0227412025314656
"CRU_SCBI_1901_2016","deficit","prev.jul",0.000335845339416521
"CRU_SCBI_1901_2016","deficit","prev.jun",0.00515777195070439
"CRU_SCBI_1901_2016","deficit","prev.may",0.062087964046357
"CRU_SCBI_1901_2016","deficit","prev.nov",-0.0406712896460482
"CRU_SCBI_1901_2016","deficit","prev.oct",0.0226261124281078
