"Species","Climate_data","variable","month","ANPP_response"
"caco","CRU_SCBI_1901_2016","cld","prev.apr",-0.000778381878771425
"caco","CRU_SCBI_1901_2016","cld","prev.may",-0.00211770542173619
"caco","CRU_SCBI_1901_2016","cld","prev.jun",-0.00105587947494425
"caco","CRU_SCBI_1901_2016","cld","prev.jul",-0.00125408053622019
"caco","CRU_SCBI_1901_2016","cld","prev.aug",0.00244062569758145
"caco","CRU_SCBI_1901_2016","cld","prev.sep",0.00151124639150933
"caco","CRU_SCBI_1901_2016","cld","prev.oct",0.000586780187380145
"caco","CRU_SCBI_1901_2016","cld","prev.nov",0.00131833899931122
"caco","CRU_SCBI_1901_2016","cld","prev.dec",0.00127082616424314
"caco","CRU_SCBI_1901_2016","cld","curr.jan",-8.4539636397693e-05
"caco","CRU_SCBI_1901_2016","cld","curr.feb",-1.57141157114092e-05
"caco","CRU_SCBI_1901_2016","cld","curr.mar",0.00133755841033993
"caco","CRU_SCBI_1901_2016","cld","curr.apr",-0.000617276627365392
"caco","CRU_SCBI_1901_2016","cld","curr.may",0.00203292382584632
"caco","CRU_SCBI_1901_2016","cld","curr.jun",0.00196710087523592
"caco","CRU_SCBI_1901_2016","cld","curr.jul",0.00149159344046667
"caco","CRU_SCBI_1901_2016","cld","curr.aug",-0.000602514227347629
"caco","CRU_SCBI_1901_2016","dtr","prev.apr",0.0011335461095034
"caco","CRU_SCBI_1901_2016","dtr","prev.may",0.00121581931572741
"caco","CRU_SCBI_1901_2016","dtr","prev.jun",0.00041582447435946
"caco","CRU_SCBI_1901_2016","dtr","prev.jul",0.000617874444267665
"caco","CRU_SCBI_1901_2016","dtr","prev.aug",-0.00238631517245612
"caco","CRU_SCBI_1901_2016","dtr","prev.sep",-0.00202864771538323
"caco","CRU_SCBI_1901_2016","dtr","prev.oct",-0.000732320028325396
"caco","CRU_SCBI_1901_2016","dtr","prev.nov",-0.00144712579751602
"caco","CRU_SCBI_1901_2016","dtr","prev.dec",-0.00242265677484916
"caco","CRU_SCBI_1901_2016","dtr","curr.jan",0.000474067175601292
"caco","CRU_SCBI_1901_2016","dtr","curr.feb",-0.000838043028134658
"caco","CRU_SCBI_1901_2016","dtr","curr.mar",-0.00240651898358068
"caco","CRU_SCBI_1901_2016","dtr","curr.apr",0.00127178891855101
"caco","CRU_SCBI_1901_2016","dtr","curr.may",-0.00112955389878451
"caco","CRU_SCBI_1901_2016","dtr","curr.jun",-0.00121679969393138
"caco","CRU_SCBI_1901_2016","dtr","curr.jul",-0.00144657855708799
"caco","CRU_SCBI_1901_2016","dtr","curr.aug",-0.000817673564763689
