"Summary_type","Species","cld","drt","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet"
"Sum of all absolute correlations","All",22.4845199987854,24.4041614176261,25.5651988355661,25.5085738317676,21.3864203708571,18.613151808939,18.8663936408571,21.3729964609939,17.1313371202164,19.0500887916612
"Sum of all absolute correlations","caco",1.5856782084909,1.35396857557959,2.16833989764227,2.18634043760994,1.76645173910684,1.08860278848199,1.54020782947624,1.63785455513886,0.659268930436493,1.25950537415475
"Sum of all absolute correlations","cagl",1.42321451501791,1.67486682840501,1.76270492690181,1.69687955076942,1.47547041694063,1.22488530021196,1.09433801703891,1.27528049590342,1.11572028153293,1.08039697462502
"Sum of all absolute correlations","caov",2.16672269315048,2.76283406821132,2.42803568055881,2.45960007097517,1.03929619231322,1.37818034316186,1.03757145999045,1.92999885950172,1.31802848938872,0.971059821917254
"Sum of all absolute correlations","cato",1.30258878864869,1.13264838809456,1.83591097077351,1.82513296476989,1.75082556019524,1.50687695173804,1.59486367561397,1.47765554467595,0.749651355458089,1.5261317835116
"Sum of all absolute correlations","fagr",1.50654331226209,2.04686079863205,2.01550443242963,2.00472586634297,1.73034643849704,1.33268402875825,1.70969057976715,1.87536351751002,1.15214650961374,1.38279135684837
"Sum of all absolute correlations","fram",1.32242783570968,1.32810271737434,1.51653150301184,1.51550048544642,1.9078001975445,1.17514246479613,1.1765797427013,1.20914644572841,1.20137522210262,1.54526092119845
"Sum of all absolute correlations","frni",1.56835756087977,1.5336076563946,1.61590694577855,1.63569067454281,1.60094900635876,1.2207565322153,1.52983291139575,1.6567482674185,1.11609187027732,1.61245242530836
"Sum of all absolute correlations","juni",1.64881947792639,1.4583286283835,1.8094490543555,1.81427426078988,1.83075149848259,1.26128394851749,1.33740147236855,1.58171764887316,0.957017966480863,1.62381662019651
"Sum of all absolute correlations","litu",1.92372370380909,1.6424858051297,1.31070263949308,1.32445249002871,1.79547133661901,1.3386103113436,1.10169055925772,1.14402832099507,1.02314707597838,1.65271908453245
"Sum of all absolute correlations","pist",1.04392433190664,1.12142209978922,1.52706941836444,1.49669303146379,1.65115213133992,1.66176802741759,1.53593817583541,1.41395082843482,1.64191310142819,1.23280042302067
"Sum of all absolute correlations","qual",1.83126313451173,2.79236500872561,2.03558510394555,2.08694255279857,1.37049799906606,1.57937917783882,1.34203689995625,1.58506228518481,1.49456815860443,1.32362285007766
