"Species","coef","significant","ci.lower","ci.upper","variable","month"
"CACO",0.00611366626367689,FALSE,-0.200176916836909,0.206230710736777,"Tmin","prev.apr"
"CACO",-0.156145570311601,FALSE,-0.362719808314831,0.0711447343373034,"Tmin","prev.may"
"CACO",0.0261115813407855,FALSE,-0.284802401996086,0.318427423345233,"Tmin","prev.jun"
"CACO",0.0229494785954299,FALSE,-0.239697202321694,0.237844339675061,"Tmin","prev.jul"
"CACO",0.00973534898990853,FALSE,-0.260232182908567,0.270328630159224,"Tmin","prev.aug"
"CACO",-0.00222828509230527,FALSE,-0.212327174867601,0.222180563087853,"Tmin","prev.sep"
"CACO",-0.0473229344138576,FALSE,-0.241481401845686,0.159149908436306,"Tmin","prev.oct"
"CACO",0.0501602089538478,FALSE,-0.174868229454979,0.270043756685584,"Tmin","prev.nov"
"CACO",0.0902863300334843,FALSE,-0.123410172940501,0.313478106089085,"Tmin","prev.dec"
"CACO",0.0359216796723211,FALSE,-0.185568984388945,0.244941213718808,"Tmin","curr.jan"
"CACO",-0.0194908309171789,FALSE,-0.221376047596784,0.15134035373112,"Tmin","curr.feb"
"CACO",-0.0862194306628991,FALSE,-0.264983216616339,0.133436786426887,"Tmin","curr.mar"
"CACO",-0.0608848623947417,FALSE,-0.29241095133905,0.14711003120781,"Tmin","curr.apr"
"CACO",-0.14653277072964,FALSE,-0.328294409090918,0.0355981099185885,"Tmin","curr.may"
"CACO",-0.211751702112094,TRUE,-0.398138969573939,-0.00944793303137106,"Tmin","curr.jun"
"CACO",-0.0401883024090194,FALSE,-0.256924717148705,0.170851334603702,"Tmin","curr.jul"
"CACO",0.0476166324069129,FALSE,-0.15148309533803,0.237853241568287,"Tmin","curr.aug"
"CACO",0.0527090196280931,FALSE,-0.139980714228924,0.2268712395381,"Tmean","prev.apr"
"CACO",-0.127719005795463,FALSE,-0.357765921124919,0.105940866809264,"Tmean","prev.may"
"CACO",0.00422973145667101,FALSE,-0.246824839857645,0.30142982702966,"Tmean","prev.jun"
"CACO",0.0110840433636324,FALSE,-0.206211746026405,0.194026854673834,"Tmean","prev.jul"
"CACO",-0.149287429214348,FALSE,-0.387470626134852,0.106564714186324,"Tmean","prev.aug"
"CACO",-0.106812319193435,FALSE,-0.30643357565953,0.103422985489956,"Tmean","prev.sep"
"CACO",-0.0814029971277066,FALSE,-0.272814695635934,0.104821320513205,"Tmean","prev.oct"
"CACO",-0.0228827028731582,FALSE,-0.266417677701854,0.210619332309788,"Tmean","prev.nov"
"CACO",0.0169870721800177,FALSE,-0.183850190975532,0.231966471461833,"Tmean","prev.dec"
"CACO",0.0144217864304679,FALSE,-0.205650587325484,0.209907858303764,"Tmean","curr.jan"
"CACO",-0.0564251112502294,FALSE,-0.248212755566313,0.127564190481146,"Tmean","curr.feb"
"CACO",-0.15197824523807,FALSE,-0.327101184833464,0.0637222031965138,"Tmean","curr.mar"
"CACO",0.043069178154905,FALSE,-0.206968733863777,0.259959373162993,"Tmean","curr.apr"
"CACO",-0.165637373994786,FALSE,-0.369134152601732,0.031094973117711,"Tmean","curr.may"
"CACO",-0.289850457367878,TRUE,-0.458568487778353,-0.0972901478041222,"Tmean","curr.jun"
"CACO",-0.153307496235723,FALSE,-0.397985430167437,0.0947320043068814,"Tmean","curr.jul"
"CACO",-0.0425159772282424,FALSE,-0.230388773957602,0.141438736529021,"Tmean","curr.aug"
"CACO",0.0736493992413534,FALSE,-0.127627511048268,0.257680877418325,"Tmax","prev.apr"
"CACO",-0.0974244487723213,FALSE,-0.312685885936802,0.141469190206288,"Tmax","prev.may"
"CACO",0.00825784796877164,FALSE,-0.244816253858462,0.248309911823351,"Tmax","prev.jun"
"CACO",0.00795176502087868,FALSE,-0.180332749062039,0.188957640156057,"Tmax","prev.jul"
"CACO",-0.247046640778362,TRUE,-0.442270899242623,-0.0110203752564279,"Tmax","prev.aug"
"CACO",-0.174661884516192,FALSE,-0.349942759534447,0.0212365735363807,"Tmax","prev.sep"
"CACO",-0.0987111572075315,FALSE,-0.304597476177564,0.120694574314152,"Tmax","prev.oct"
"CACO",-0.0789211962072499,FALSE,-0.297187282914988,0.142892294700999,"Tmax","prev.nov"
"CACO",-0.0466707514131127,FALSE,-0.25404250994544,0.15198366029897,"Tmax","prev.dec"
"CACO",-0.0065353724951194,FALSE,-0.206312856548247,0.186261515597329,"Tmax","curr.jan"
"CACO",-0.0832852360466924,FALSE,-0.280272645301114,0.0941995623685111,"Tmax","curr.feb"
"CACO",-0.195278517052473,FALSE,-0.398500297034538,0.0108441927162348,"Tmax","curr.mar"
"CACO",0.10480229208519,FALSE,-0.148848131277648,0.331408927187669,"Tmax","curr.apr"
"CACO",-0.157966652930423,FALSE,-0.342977307158986,0.0283922465423746,"Tmax","curr.may"
"CACO",-0.289842487269086,TRUE,-0.458227790469382,-0.090565688494062,"Tmax","curr.jun"
"CACO",-0.191045041629596,FALSE,-0.424336867478504,0.0565549505415671,"Tmax","curr.jul"
"CACO",-0.115820504762722,FALSE,-0.298088992876591,0.0625564386998408,"Tmax","curr.aug"
"CACO",-0.0332510775578448,FALSE,-0.200777946352331,0.114030128703808,"PPT","prev.apr"
"CACO",0.09763337851756,FALSE,-0.0847552012469881,0.279456055762713,"PPT","prev.may"
"CACO",-0.008247695110128,FALSE,-0.241252188025812,0.202145880098784,"PPT","prev.jun"
"CACO",0.0838332723787433,FALSE,-0.130780742044894,0.301086031558703,"PPT","prev.jul"
"CACO",0.26885769865352,TRUE,0.0843496441672628,0.420862681554434,"PPT","prev.aug"
