"Species","coef","significant","significant2","ci.lower","ci.upper","chg_rad_inc_1SD_clim","variable","month"
"FRAM_dead",-0.0444194072244908,FALSE,FALSE,-0.23687646227269,0.156240500586026,-0.00496874044219467,"Tmin","prev.apr"
"FRAM_dead",0.0956298987487828,FALSE,FALSE,-0.0853644111985166,0.272466555884444,0.010697129364979,"Tmin","prev.may"
"FRAM_dead",0.14727650775681,FALSE,FALSE,-0.0501255354427869,0.337911688823269,0.0164743022476219,"Tmin","prev.jun"
"FRAM_dead",0.0246198446260218,FALSE,FALSE,-0.22568761058027,0.260794457566104,0.00275396781086302,"Tmin","prev.jul"
"FRAM_dead",0.0902635561206572,FALSE,FALSE,-0.213837901460212,0.339776892311209,0.0100968520243048,"Tmin","prev.aug"
"FRAM_dead",-0.113717741486099,FALSE,FALSE,-0.363973471010555,0.123598334087539,-0.0127204295694762,"Tmin","prev.sep"
"FRAM_dead",0.0247055374692862,FALSE,FALSE,-0.178841361372414,0.232824742158379,0.0027635533844341,"Tmin","prev.oct"
"FRAM_dead",0.0166170906403404,FALSE,FALSE,-0.246009051935615,0.253165092018402,0.00185878235337528,"Tmin","prev.nov"
"FRAM_dead",0.243187966104692,TRUE,FALSE,0.0318867214475379,0.429031648685804,0.0272029267777627,"Tmin","prev.dec"
"FRAM_dead",0.110641106811789,FALSE,FALSE,-0.133351490122929,0.349900144104791,0.0123762782156582,"Tmin","curr.jan"
"FRAM_dead",0.085770428278713,FALSE,FALSE,-0.114285730382901,0.267505287730558,0.0095942522055501,"Tmin","curr.feb"
"FRAM_dead",-0.0104614709799351,FALSE,FALSE,-0.259679392891038,0.212859615940303,-0.0011702167406275,"Tmin","curr.mar"
"FRAM_dead",-0.0204665834449712,FALSE,FALSE,-0.215430545464598,0.190196041629948,-0.00228938536623495,"Tmin","curr.apr"
"FRAM_dead",-0.228498404636016,TRUE,FALSE,-0.392786450731536,-0.0395177197729515,-0.0255597572104914,"Tmin","curr.may"
"FRAM_dead",-0.0229996936939697,FALSE,FALSE,-0.230131281056523,0.183127550560532,-0.00257273825464984,"Tmin","curr.jun"
"FRAM_dead",0.0757498487949518,FALSE,FALSE,-0.140413746280148,0.27340795637026,0.00847335344425959,"Tmin","curr.jul"
"FRAM_dead",-0.0306999229877879,FALSE,FALSE,-0.230285917375202,0.168228626938249,-0.00343408339851911,"Tmin","curr.aug"
"FRAM_dead",-0.0750859019188843,FALSE,FALSE,-0.264932299481799,0.135295598268517,-0.00839908456268913,"Tmean","prev.apr"
"FRAM_dead",0.139935519081931,FALSE,FALSE,-0.0560665559593364,0.312002796989623,0.0156531416425237,"Tmean","prev.may"
"FRAM_dead",0.142804798905269,FALSE,FALSE,-0.055375099372811,0.32637583579433,0.015974098350166,"Tmean","prev.jun"
"FRAM_dead",0.00309599772568552,FALSE,FALSE,-0.22202137359376,0.212795357963646,0.000346317298445954,"Tmean","prev.jul"
"FRAM_dead",0.108415649455188,FALSE,FALSE,-0.152949843752915,0.335617529490923,0.0121273392797053,"Tmean","prev.aug"
"FRAM_dead",-0.13370254853319,FALSE,FALSE,-0.349279122134033,0.092729454238742,-0.0149559235845694,"Tmean","prev.sep"
"FRAM_dead",-0.0968549779468333,FALSE,FALSE,-0.365551103025713,0.178303043922685,-0.0108341663255462,"Tmean","prev.oct"
"FRAM_dead",0.0237778225565011,FALSE,FALSE,-0.238437551064576,0.28755599473579,0.00265977949608197,"Tmean","prev.nov"
"FRAM_dead",0.232045272011901,TRUE,FALSE,0.0178195862349578,0.428247757993484,0.0259565086413377,"Tmean","prev.dec"
"FRAM_dead",0.105625979510432,FALSE,FALSE,-0.145902392195783,0.34536452126156,0.0118152877071836,"Tmean","curr.jan"
"FRAM_dead",0.0339848961051181,FALSE,FALSE,-0.159605497184115,0.229973510558964,0.00380153942279945,"Tmean","curr.feb"
"FRAM_dead",-0.0503775775992287,FALSE,FALSE,-0.303573985477863,0.200336526875011,-0.00563521944207929,"Tmean","curr.mar"
"FRAM_dead",0.0179396163873465,FALSE,FALSE,-0.191700475905049,0.225589045001234,0.00200671965320871,"Tmean","curr.apr"
"FRAM_dead",-0.304142240194981,TRUE,FALSE,-0.460747261500894,-0.112315828237836,-0.0340212520486604,"Tmean","curr.may"
"FRAM_dead",-0.0398387042404432,FALSE,FALSE,-0.251441512027246,0.169883571276489,-0.00445634449653311,"Tmean","curr.jun"
"FRAM_dead",0.0116325330902642,FALSE,FALSE,-0.205543182390888,0.225438017202727,0.0013012113673344,"Tmean","curr.jul"
"FRAM_dead",-0.0417856086115117,FALSE,FALSE,-0.24423895944322,0.163869352956324,-0.00467412458613953,"Tmean","curr.aug"
"FRAM_dead",-0.0789020075583088,FALSE,FALSE,-0.278268024820303,0.164533454591692,-0.00882595289810991,"Tmax","prev.apr"
"FRAM_dead",0.16035322251159,FALSE,FALSE,-0.0393524103988245,0.338392865077701,0.0179370593061468,"Tmax","prev.may"
"FRAM_dead",0.0940476355082101,FALSE,FALSE,-0.0947588237690953,0.26882595737104,0.0105201379136095,"Tmax","prev.jun"
"FRAM_dead",-0.014131123629855,FALSE,FALSE,-0.207504203339798,0.171326073387765,-0.00158070289228445,"Tmax","prev.jul"
"FRAM_dead",0.0913960887245455,FALSE,FALSE,-0.126126418465323,0.283041525506258,0.0102235367529551,"Tmax","prev.aug"
"FRAM_dead",-0.132080904101745,FALSE,FALSE,-0.327142144537495,0.0638447476409181,-0.014774526966,"Tmax","prev.sep"
