"year","month","PCP","TAVG","PDSI","PHDI","ZNDX","PMDI","SP01","SP02","SP03","SP06","SP09","SP12","SP24","TMIN","TMAX"
1999,7,3.32,78.1,-4.53,-4.53,-2.28,-4.53,-0.35,-1.56,-1.74,-1.84,-1.49,-2.26,-0.12,65.7,90.4
1999,8,3.31,74.1,-4.64,-4.64,-1.72,-4.64,-0.17,-0.44,-1.3,-1.7,-1.11,-2.14,0.04,61.7,86.5
1999,9,10.12,65.8,2.09,-2.08,6.26,0.35,2.12,1.87,1.6,0.05,0.52,-0.23,0.75,55.1,76.6
1999,10,2.23,53,-0.15,-2.01,-0.44,0.17,-0.32,1.71,1.4,0.07,-0.21,-0.18,0.68,40.8,65.1
1999,11,2.1,50.3,-0.41,-2.08,-0.84,-0.27,-0.3,-0.55,1.36,0.34,-0.21,-0.01,0.2,38.5,62.1
1999,12,2.59,37.9,-0.39,-1.89,-0.06,-0.15,-0.12,-0.38,-0.6,0.81,-0.29,0.15,0.31,27.9,47.9
2000,1,1.98,32.2,-0.59,-1.93,-0.72,-0.47,-0.57,-0.51,-0.61,0.76,-0.28,-0.51,-0.24,22,42.5
2000,2,1.85,39.9,-0.91,-2.11,-1.14,-1.01,-0.35,-0.75,-0.67,0.78,-0.06,-0.49,-0.86,28.8,51
2000,3,3.05,48.2,-1.12,-2.2,-0.91,-1.34,-0.05,-0.3,-0.66,-0.89,0.4,-0.58,-1.11,35.9,60.4
2000,4,3.86,53,-0.78,-1.75,0.68,-0.7,0.56,0.3,0.02,-0.38,0.63,-0.28,-1.1,41.7,64.2
2000,5,2.85,64.6,-1.2,-2.07,-1.5,-1.3,-0.56,-0.11,-0.18,-0.59,0.53,-0.18,-1.36,52.2,76.9
2000,6,5.53,72,0.7,-1.15,2.11,0.21,0.98,0.25,0.45,-0.07,-0.39,0.5,-1.36,61.1,82.8
2000,7,4.01,71.3,0.88,-0.78,0.75,0.7,0.15,0.78,0.2,0.13,-0.23,0.64,-1.14,61.1,81.4
2000,8,3.87,71.8,0.86,-0.63,0.21,0.8,0.15,0.06,0.56,0.26,-0.11,0.74,-0.88,61.9,81.6
2000,9,5.62,64.5,1.64,1.64,2.61,1.64,1.06,0.8,0.69,0.79,0.39,0.1,-0.24,53.8,75.1
2000,10,0.12,57,-0.95,-0.95,-2.85,-0.95,-2.45,-0.19,-0.2,-0.03,-0.08,-0.32,-0.41,43.7,70.3
2000,11,1.64,42.3,-1.3,-1.3,-1.34,-1.3,-0.66,-2.03,-0.56,-0.06,-0.16,-0.45,-0.34,31.2,53.3
2000,12,2.37,28,-1.29,-1.29,-0.37,-1.29,-0.29,-0.73,-1.74,-0.6,-0.19,-0.49,-0.25,18.4,37.7
2001,1,2.23,32.1,-1.29,-1.29,-0.39,-1.29,-0.32,-0.5,-0.81,-0.78,-0.47,-0.47,-0.68,22.4,41.8
2001,2,1.34,38.7,-1.71,-1.71,-1.68,-1.71,-0.85,-0.95,-0.94,-1.04,-0.53,-0.54,-0.77,27.3,50
2001,3,4.62,40,0.65,-0.89,1.95,0.15,1.02,0.28,0.01,-1.44,-0.59,-0.22,-0.63,28.9,51.1
2001,4,1.93,55.2,-0.6,-1.4,-1.81,-1.2,-0.9,0.11,-0.37,-0.81,-0.87,-0.62,-0.67,42.2,68
2001,5,4.31,61.6,0.12,-1.13,0.37,-0.69,0.33,-0.33,0.25,-0.41,-0.72,-0.38,-0.46,49.2,74.1
2001,6,4.94,70.7,0.69,0.69,1.73,0.69,0.7,0.62,0.07,0,-1.04,-0.53,-0.06,59.6,81.9
2001,7,4.83,71.2,1.21,1.21,1.77,1.21,0.7,0.87,0.81,0.37,-0.14,-0.36,0.16,59.6,82.8
2001,8,4.7,74.8,1.43,1.43,1.04,1.43,0.56,0.69,0.88,0.81,0.23,-0.14,0.42,64.2,85.4
2001,9,2.45,64.2,-0.06,1.22,-0.19,1.03,-0.22,0.03,0.24,0.22,0.14,-0.65,-0.53,51.9,76.4
2001,10,0.98,55.1,-0.76,-0.76,-2.12,-0.76,-1.24,-1.33,-0.71,0.02,-0.21,-0.52,-0.66,41,69.2
2001,11,0.9,50.3,-1.68,-1.68,-2.98,-1.68,-1.37,-1.94,-1.72,-0.55,-0.35,-0.7,-0.82,36.8,63.8
2001,12,1.69,41.6,-2.32,-2.32,-2.43,-2.32,-0.89,-1.56,-2.01,-1.12,-0.86,-0.86,-1.01,31,52.1
2002,1,1.39,38.8,-2.95,-2.95,-2.62,-2.95,-1.33,-1.44,-2.1,-1.73,-0.93,-1.06,-1.07,28.3,49.2
2002,2,0.45,39.6,-3.7,-3.7,-3.16,-3.7,-2.06,-3.09,-3.09,-2.59,-1.59,-1.28,-1.27,27.3,52
2002,3,3.44,44.6,-3.38,-3.38,-0.18,-3.38,0.24,-0.98,-1.83,-3.09,-1.73,-1.56,-1.18,32.6,56.5
2002,4,4.11,56,-2.84,-2.84,0.56,-2.56,0.71,0.61,-0.32,-1.78,-1.73,-1.03,-1.13,43.3,68.7
2002,5,3.71,61,-2.55,-2.55,-0.01,-2.22,-0.02,0.39,0.4,-1.01,-1.85,-1.11,-1.04,48.1,73.9
2002,6,3.74,72.2,-2.28,-2.28,0.04,-1.87,0.04,-0.16,0.2,-0.75,-2.1,-1.32,-1.26,60.1,84.4
2002,7,3.83,76.2,-2.12,-2.12,-0.24,-1.76,0.02,-0.04,-0.2,-0.4,-1.32,-1.54,-1.37,65.2,87.1
2002,8,2.55,75.6,-2.58,-2.58,-2.04,-2.58,-0.69,-0.55,-0.54,-0.2,-1.14,-2.09,-1.69,63.5,87.7
2002,9,3.41,68,-2.5,-2.5,-0.54,-2.5,0.28,-0.43,-0.44,-0.21,-0.87,-2.18,-2.12,56.4,79.7
2002,10,5.36,54.5,0.53,-1.71,1.6,-0.95,1.03,0.82,0.31,0.1,-0.11,-0.86,-1.04,45.4,63.6
2002,11,4.03,43.8,0.95,-1.06,1.4,0.31,0.84,1.18,0.97,0.43,0.53,-0.32,-0.72,34.5,53.1
2002,12,3.52,33.5,1.27,1.27,1.27,1.27,0.57,0.88,1.24,0.59,0.62,0.03,-0.59,24.4,42.6
2003,1,2.59,28.5,1.17,1.17,0.07,1.12,0,0.3,0.69,0.56,0.43,0.22,-0.54,20.5,36.6
2003,2,6.06,31,2.65,2.65,4.82,2.65,2.21,1.62,1.53,1.65,1.13,1.13,0.03,23.2,38.9
2003,3,3.69,44.8,2.47,2.47,0.29,2.47,0.41,1.81,1.51,1.67,1.27,1.16,-0.09,32.2,57.3
2003,4,3.29,52.7,2.24,2.24,0.07,2.21,0.2,0.33,1.6,1.35,1.25,1.05,0.05,40.9,64.5
2003,5,6.82,59.8,3.22,3.22,3.61,3.22,1.61,1.3,1.29,1.85,1.92,1.52,0.29,51,68.6
2003,6,6.92,68.1,4.4,4.4,4.53,4.4,1.56,2.41,2.02,2.37,2.2,2.23,0.54,58.6,77.6
2003,7,5.76,74.3,4.75,4.75,2.42,4.75,1.26,1.87,2.84,3.09,2.44,2.42,0.72,64.2,84.5
2003,8,4.37,75.2,4.49,4.49,0.7,4.49,0.41,0.9,1.63,2.14,2.34,2.33,0.72,65.5,84.9
2003,9,9.09,65.9,6.14,6.14,6.34,6.14,1.91,1.87,2.24,2.86,3.08,2.57,1.37,56.5,75.4
2003,10,3.24,53.4,5.68,5.68,0.5,5.68,0.2,1.71,1.62,2.61,3.09,2.58,1.5,41.8,65
2003,11,4.31,50.2,5.6,5.6,1.54,5.6,0.97,0.64,1.84,2.45,2.64,2.84,1.83,39,61.4
2003,12,4.24,35.7,5.69,5.69,1.98,5.69,1.04,1.26,0.94,2.38,2.56,2.88,2.1,26.4,44.9
2004,1,1.34,28.6,4.59,4.59,-1.54,3.97,-1.41,0.04,0.61,1.7,2.52,2.89,2.11,19.5,37.7
2004,2,2.51,33.9,4.17,4.17,0.16,3.56,0.19,-0.73,0.12,1.6,2.24,2.33,2.38,23.6,44.2
2004,3,1.93,45.9,3.08,3.08,-1.99,1.71,-0.98,-0.59,-1.39,0.17,1.59,2.09,2.23,34,57.8
2004,4,4.71,54.2,3.26,3.26,1.49,2.4,1.03,0.16,0.19,0.54,1.47,2.34,2.37,43.6,64.9
2004,5,4.46,68.6,2.81,2.81,-0.34,1.8,0.41,0.94,0.34,0.24,1.44,2.13,2.89,57,80.2
2004,6,4.35,69.8,2.89,2.89,1.12,2.24,0.39,0.43,0.89,-0.02,0.6,1.89,3.09,59.7,79.9
2004,7,4.7,74.3,2.99,2.99,1.17,2.64,0.61,0.59,0.6,0.56,0.74,1.63,3.09,64.6,84
2004,8,2.95,72.1,2.45,2.45,-0.69,1.81,-0.4,-0.03,0.1,0.25,0.21,1.29,2.75,61.6,82.6
2004,9,8.65,67.4,3.95,3.95,5.24,3.95,1.82,1.4,1.48,1.64,0.95,1.18,2.81,57.6,77.2
2004,10,1.41,55,-0.47,3.07,-1.41,2.47,-0.87,1.16,0.77,0.91,0.86,0.94,2.41,45.2,64.8
2004,11,4.01,48.2,0.41,3.16,1.22,2.97,0.83,-0.1,1.27,1.09,1.06,0.91,2.5,38.2,58.2
2004,12,2.65,36.9,0.39,2.86,0.08,2.64,-0.07,0.52,-0.2,0.97,1.2,0.71,2.43,26.6,47.2
2005,1,2.73,34.7,0.39,2.61,0.13,2.38,0.12,-0.07,0.44,0.78,0.99,0.94,2.48,25.9,43.5
2005,2,1.36,37.4,-0.52,1.82,-1.55,0.95,-0.83,-0.56,-0.5,0.76,0.71,0.77,2.15,27.2,47.5
2005,3,3.72,39.6,0.3,1.93,0.89,1.36,0.43,-0.2,-0.17,-0.26,0.72,1.03,2.15,29.8,49.4
2005,4,3.26,54.2,0.21,1.68,-0.16,1.01,0.18,0.33,-0.16,0.24,0.57,0.81,2.21,41.4,67
2005,5,3.98,58.6,0.4,1.72,0.64,1.23,0.14,0.13,0.28,-0.16,0.74,0.69,2.15,46.7,70.4
2005,6,2,72,-0.69,0.85,-2.06,-0.38,-1.41,-0.81,-0.66,-0.69,-0.61,0.26,1.58,60.7,83.3
2005,7,5.7,76.8,-0.24,1.14,1.13,0.32,1.23,0.02,-0.05,-0.19,0.11,0.46,1.6,66.8,86.8
2005,8,3.08,75.6,-0.71,-0.71,-1.49,-0.71,-0.31,0.41,-0.31,-0.1,-0.35,0.51,1.34,65.2,86.1
2005,9,0.73,69.6,-1.75,-1.75,-3.35,-1.75,-3.09,-1.43,-0.53,-0.85,-0.88,-0.84,0.36,56.6,82.6
2005,10,7.5,57.1,1.1,1.1,3.29,1.1,1.68,0.66,0.31,0.19,0.03,0.23,0.77,47.4,66.6
2005,11,3.55,47.3,1.31,1.31,0.99,1.31,0.59,1.62,0.71,0.35,0.41,0.12,0.67,34.9,59.7
2005,12,2.34,32.8,-0.02,1.16,-0.06,1.03,-0.32,0.18,1.36,0.64,0.25,0.1,0.54,23.4,42.2
2006,1,2.69,40.6,-0.15,0.91,-0.38,0.48,0.09,-0.26,0.16,0.2,0.21,0.08,0.67,30.4,50.8
2006,2,1.9,36,-0.38,0.57,-0.75,-0.35,-0.31,-0.23,-0.41,0.29,0.06,0.2,0.6,25.4,46.5
2006,3,0.14,44.9,-1.69,-1.69,-4.05,-1.69,-3.09,-3.09,-2.44,0.3,-0.2,-0.45,0.38,33.2,56.5
2006,4,3.59,56.5,-1.79,-1.79,-0.82,-1.79,0.39,-1.57,-1.59,-0.78,-0.48,-0.41,0.23,43.1,69.8
2006,5,2.2,60.6,-2.15,-2.15,-1.63,-2.15,-1.01,-0.56,-1.9,-1.62,-0.63,-0.77,-0.11,47.7,73.5
2006,6,7.98,70.7,1.77,1.77,5.3,1.77,1.94,1,0.97,-0.25,0.74,0.25,0.32,58.9,82.6
2006,7,3.23,76.5,-0.22,1.36,-0.66,0.97,-0.42,1.39,0.56,-0.47,-0.27,-0.16,0.17,65.9,87.1
2006,8,1.51,76,-1.19,-1.19,-2.97,-1.19,-1.78,-1.28,0.34,-0.93,-0.99,-0.37,0.06,63.7,88.4
2006,9,6.79,64,1.07,1.07,3.22,1.07,1.38,0.43,0.11,0.7,-0.13,0.67,-0.12,54.5,73.4
2006,10,5.26,53.3,1.71,1.71,2.23,1.71,0.99,1.64,0.9,1,0.28,0.3,0.31,42.2,64.4
2006,11,5.41,48.1,2.5,2.5,2.91,2.5,1.46,1.52,2.01,1.86,0.88,0.57,0.43,37.8,58.4
2006,12,1.63,42,-0.49,1.75,-1.48,1.05,-0.95,0.67,1.07,0.85,1.16,0.5,0.39,30.5,53.6
2007,1,1.97,38,-0.81,1.21,-1.09,0.02,-0.59,-1.1,0.31,0.82,1,0.37,0.29,28.6,47.4
2007,2,2.66,28.3,-0.58,1.23,0.44,0.22,0.3,-0.2,-0.76,1.39,1.36,0.53,0.42,18.9,37.7
2007,3,2.94,45.4,-0.75,0.87,-0.7,-0.39,-0.13,0.09,-0.29,0.68,0.57,0.95,0.32,32.5,58.4
2007,4,3.46,51.6,-0.54,0.92,0.41,-0.16,0.31,0.04,0.15,0.32,0.73,0.93,0.32,40.6,62.6
2007,5,1.77,64.4,-1.37,-1.37,-2.67,-1.37,-1.33,-0.85,-0.85,-1.12,0.76,0.83,-0.01,51.4,77.4
2007,6,3.19,71.8,-1.59,-1.59,-1.09,-1.59,-0.33,-1.28,-0.98,-1.03,0.09,-0.03,0.11,59.7,83.9
2007,7,1.84,74,-2.4,-2.4,-2.9,-2.4,-1.63,-1.38,-1.74,-1.42,-0.91,-0.25,-0.35,61.8,86.3
2007,8,4.06,76,-2.55,-2.55,-1.19,-2.55,0.25,-0.75,-0.91,-1.31,-1.47,0.26,-0.14,64.6,87.4
2007,9,1.49,68.7,-3.21,-3.21,-2.76,-3.21,-1.03,-0.6,-1.24,-1.63,-1.64,-0.61,0.01,55.7,81.6
2007,10,3.87,61.8,-3.13,-3.13,-0.76,-3.13,0.47,-0.35,-0.27,-1.46,-1.25,-0.92,-0.44,49.6,73.9
2007,11,1.44,45.1,-3.69,-3.69,-2.66,-3.69,-0.83,-0.14,-0.76,-1.37,-1.64,-1.77,-0.72,34.8,55.5
2007,12,3.09,38.1,-3.66,-3.66,-1.03,-3.66,0.26,-0.46,-0.09,-1.06,-1.5,-1.58,-0.64,30,46.2
2008,1,1.17,34.9,-4.08,-4.08,-2.38,-4.08,-1.72,-0.69,-1.07,-0.96,-2.06,-1.77,-0.85,25.2,44.6
2008,2,2.47,37.2,-3.69,-3.69,-0.12,-3.68,0.16,-0.9,-0.51,-0.98,-1.51,-1.92,-0.78,27.1,47.3
2008,3,2.73,44.6,-3.6,-3.6,-0.86,-3.6,-0.3,-0.13,-0.97,-0.58,-1.42,-1.96,-0.44,32.8,56.4
2008,4,5.74,55.2,0.84,-2.39,2.52,-1.33,1.53,1.03,0.88,-0.04,-0.37,-1.33,-0.19,44.2,66.2
2008,5,6.29,59.8,1.76,-1.13,3.03,1.1,1.36,1.98,1.61,0.82,0.1,-0.41,0.23,47.7,71.9
2008,6,4.42,73,1.84,-0.76,0.76,1.61,0.43,1.22,1.84,0.91,0.63,-0.24,-0.23,60.8,85.3
2008,7,3.93,74.7,1.72,-0.61,0.23,1.67,0.09,0.3,1.01,1.37,0.49,0.16,-0.12,63.4,85.9
2008,8,3.02,71.4,1.26,-0.83,-0.84,1.03,-0.35,-0.31,-0.11,1.01,0.54,0.04,0.16,59.8,83
2008,9,4.57,67.3,1.46,1.46,0.98,1.46,0.73,0.19,0.11,1.26,0.72,0.58,-0.07,56.8,77.8
2008,10,1.65,53.7,-0.5,0.81,-1.5,-0.07,-0.69,-0.01,-0.32,0.38,0.7,0.19,-0.52,41.6,65.8
2008,11,1.97,43.5,-0.9,-0.9,-1.37,-0.9,-0.4,-0.89,-0.3,-0.36,0.56,0.25,-0.97,34.1,52.9
2008,12,3.33,37.1,-0.73,-0.73,0.25,-0.73,0.43,-0.09,-0.59,-0.4,0.73,0.33,-0.79,27.5,46.7
2009,1,2.21,29.3,-0.79,-0.79,-0.42,-0.79,-0.34,0.02,-0.25,-0.55,0.18,0.5,-0.75,20.2,38.4
2009,2,0.45,37.1,-1.61,-1.61,-2.7,-1.61,-2.06,-1.89,-0.91,-0.81,-0.8,0.18,-1.07,25.7,48.4
2009,3,2.2,43.2,-1.89,-1.89,-1.34,-1.89,-0.74,-2.16,-2.28,-1.66,-1.15,0.09,-1.14,32.5,54
2009,4,3.84,54.2,0.17,-1.53,0.5,-1.23,0.55,-0.15,-1.08,-0.86,-0.99,-0.28,-1.08,41.9,66.5
2009,5,7.12,62.5,1.33,1.33,3.55,1.33,1.75,1.61,1.08,0.23,-0.09,-0.18,-0.48,51.7,73.2
2009,6,5.63,70.5,2.06,2.06,2.61,2.06,1.02,2.03,1.88,0.56,0.11,-0.01,-0.22,59.9,81
2009,7,2.74,71.6,1.65,1.65,-0.6,1.31,-0.81,0.31,1.32,0.37,0.13,-0.19,-0.08,60.7,82.6
2009,8,3.57,75.2,1.26,1.26,-0.66,0.56,-0.01,-0.58,0.08,0.75,0.19,-0.03,-0.06,64.5,85.8
2009,9,2.27,65.8,0.75,0.75,-1.15,-0.49,-0.34,-0.48,-0.83,0.67,-0.13,-0.35,0.09,55.8,75.7
2009,10,3.78,54.1,0.75,0.75,0.25,-0.34,0.43,-0.07,-0.2,0.63,0.09,-0.04,0.06,43.3,64.8
2009,11,4.25,48.5,0.98,0.98,0.92,0.26,0.94,0.79,0.32,0.28,0.75,0.3,0.34,38.9,58.2
2009,12,5.8,33.8,2.18,2.18,3.88,2.18,1.94,1.79,1.47,0.53,1.37,0.74,0.71,25.1,42.5
2010,1,3.26,32.1,2.27,2.27,0.94,2.27,0.52,1.61,1.61,0.9,1.4,0.92,0.91,23.9,40.2
2010,2,3.17,30.7,2.4,2.4,1.09,2.4,0.66,0.74,1.55,1.14,1.02,1.32,0.99,22.9,38.6
2010,3,4.72,47.4,2.56,2.56,1.23,2.56,1.08,1.13,1.14,1.62,0.99,1.63,1.19,36.6,58.1
2010,4,1.53,57.7,-0.87,1.42,-2.62,0.24,-1.35,-0.04,0.3,1.27,0.87,1.35,0.72,44,71.5
2010,5,3.96,65,-1.12,0.94,-1,-0.64,0.13,-0.71,0,1.05,0.91,0.84,0.4,53.6,76.4
2010,6,2.04,75.3,-1.88,-1.88,-2.65,-1.88,-1.36,-0.8,-1.33,-0.2,0.84,0.2,0.09,63.5,87
2010,7,3.11,78.1,-2.53,-2.53,-2.51,-2.53,-0.52,-1.31,-0.95,-0.62,0.6,0.29,0.02,65.6,90.5
2010,8,3.7,75.3,-2.77,-2.77,-1.51,-2.77,0.06,-0.37,-1,-0.82,0.23,0.36,0.19,64.7,85.9
2010,9,4.33,69.6,-2.5,-2.5,-0.04,-2.46,0.64,0.34,-0.01,-0.87,-0.18,0.7,0.2,55.7,83.4
2010,10,4.12,57.1,-2.22,-2.22,0.09,-2.07,0.57,0.72,0.54,-0.2,-0.1,0.72,0.44,45.4,68.8
2010,11,2.41,45,-2.37,-2.37,-1.15,-2.37,-0.09,0.31,0.47,-0.32,-0.29,0.43,0.46,33.4,56.7
2010,12,2.25,30,-2.38,-2.38,-0.75,-2.38,-0.39,-0.4,0.04,-0.05,-0.7,-0.14,0.41,22.8,37.2
2011,1,1.56,30,-2.55,-2.55,-1.25,-2.55,-1.08,-0.97,-0.82,-0.16,-0.63,-0.49,0.32,21.8,38.2
2011,2,1.73,38.3,-2.67,-2.67,-1.14,-2.67,-0.46,-1.2,-1.19,-0.26,-0.87,-0.76,0.45,27.2,49.3
2011,3,5.09,44.1,0.69,-1.7,2.08,-0.76,1.3,0.68,0.1,0.07,-0.06,-0.66,0.76,32.7,55.4
2011,4,6.43,56.4,1.67,1.67,3.14,1.67,1.83,2.27,1.67,0.64,0.73,0.23,1.04,45.1,67.6
2011,5,4.74,64.7,1.69,1.69,0.58,1.69,0.57,1.69,2.08,0.89,0.9,0.31,0.75,53.9,75.5
2011,6,2.85,72.8,-0.38,1.14,-1.14,0.5,-0.59,-0.09,1.05,0.8,0.62,0.42,0.4,61.6,84
2011,7,2.24,78.2,-1.24,-1.24,-2.71,-1.24,-1.25,-1.35,-0.7,0.68,0.09,0.29,0.38,66.4,90
2011,8,4.21,74.5,-1.38,-1.38,-0.78,-1.38,0.33,-0.52,-0.84,0.87,0.19,0.42,0.53,63.4,85.7
2011,9,7.05,67.3,1.02,1.02,3.07,1.02,1.45,1.31,0.69,1.17,1,0.84,1.04,59.1,75.5
2011,10,4.92,54.3,1.5,1.5,1.75,1.5,0.87,1.63,1.51,0.81,1.5,0.93,1.08,44.2,64.4
2011,11,2.79,48.3,1.38,1.38,0.09,1.34,0.16,0.69,1.43,0.67,1.58,1,0.93,36.5,60.1
2011,12,3.41,40.5,1.46,1.46,0.69,1.46,0.49,0.32,0.75,1.02,1.31,1.21,0.76,30.4,50.6
2012,1,1.9,36.4,-0.35,0.96,-1.06,0.31,-0.66,-0.11,-0.02,1.2,0.68,1.29,0.6,26.2,46.5
2012,2,1.47,40.6,-0.88,-0.88,-1.7,-0.88,-0.71,-1.13,-0.48,0.92,0.33,1.24,0.39,30.2,51.1
2012,3,2.53,53.5,-1.54,-1.54,-2.25,-1.54,-0.46,-0.9,-1.3,0.03,0.39,0.86,0.12,40.8,66.2
2012,4,1.98,53.7,-1.9,-1.9,-1.55,-1.9,-0.85,-1.05,-1.37,-0.83,0.48,0.12,0.15,41.1,66.3
2012,5,4.45,66.9,-1.75,-1.75,-0.12,-1.73,0.41,-0.24,-0.51,-0.72,0.51,0.01,0.14,55.8,78.1
2012,6,3.07,70.1,-1.73,-1.73,-0.48,-1.73,-0.42,-0.13,-0.56,-1.22,-0.29,0.01,0.26,58,82.1
2012,7,3.56,78.4,-1.9,-1.9,-1.05,-1.9,-0.17,-0.49,-0.27,-1.06,-0.84,0.27,0.36,67.4,89.4
2012,8,4.56,74.1,0,-1.7,-0.01,-1.64,0.5,0.16,-0.17,-0.52,-0.68,0.37,0.54,63.6,84.6
2012,9,3.88,66.4,0.09,-1.44,0.26,-1.18,0.47,0.47,0.25,-0.17,-0.7,-0.07,0.5,54.7,78.1
2012,10,6.24,55.4,0.92,0.92,2.55,0.92,1.31,1.18,1.17,0.76,0.11,0.09,0.67,44.8,66.1
2012,11,0.96,41.5,0.4,0.4,-1.3,-0.43,-1.3,0.53,0.53,0.28,-0.03,-0.27,0.49,31.2,51.8
2012,12,2.83,40.8,0.36,0.36,0,-0.39,0.07,-0.85,0.43,0.44,0.14,-0.36,0.63,31.8,49.7
2013,1,4.15,36.6,0.93,0.93,1.83,0.93,1.08,0.72,-0.08,0.83,0.61,0.04,0.89,27.7,45.5
2013,2,1.59,34.4,0.48,0.48,-1.05,0.48,-0.59,0.41,0.32,0.5,0.33,0.09,0.88,25.5,43.4
2013,3,3.44,39.1,0.63,0.63,0.6,0.63,0.24,-0.23,0.43,0.54,0.53,0.25,0.68,30,48.2
2013,4,2.19,55,0.07,0.07,-1.49,-0.6,-0.65,-0.38,-0.7,-0.47,0.39,0.27,0.18,42.7,67.3
2013,5,4.34,61.2,0.28,0.28,0.65,-0.32,0.34,-0.19,-0.1,0.07,0.35,0.19,0.06,49.6,72.9
2013,6,6.26,71.5,1.33,1.33,3.24,1.33,1.29,1.17,0.64,0.69,0.76,0.72,0.48,61.6,81.4
2013,7,4.47,75.9,1.46,1.46,0.79,1.46,0.46,1.22,1.17,0.46,0.28,0.89,0.84,66.6,85.2
2013,8,4.26,71,1.57,1.57,0.79,1.57,0.35,0.39,1.04,0.72,0.67,0.83,0.87,61.3,80.6
2013,9,1.22,65,0.84,0.84,-1.71,-0.12,-1.45,-0.63,-0.39,0.12,0.25,0.47,0.18,52.8,77.1
2013,10,5.7,56.3,1.42,1.42,2,1.41,1.14,0.24,0.27,0.86,0.45,0.33,0.24,45.8,66.8
2013,11,2.26,42.1,1.29,1.29,0.05,1.22,-0.19,0.77,0,0.7,0.53,0.51,0.15,31.6,52.5
2013,12,5.32,37.9,2.18,2.18,3.09,2.18,1.68,0.89,1.33,0.71,0.91,0.95,0.43,28.8,46.9
2014,1,2.16,26.8,1.8,1.8,-0.48,1.52,-0.39,0.95,0.56,0.44,1,0.64,0.44,16.4,37.4
2014,2,3.56,34,2.12,2.12,1.51,2.12,0.9,0.4,1.19,0.63,1.15,0.96,0.67,24.1,43.9
2014,3,3.24,37.3,2.07,2.07,0.52,2.07,0.09,0.67,0.34,1.14,0.72,0.92,0.73,25.8,48.8
2014,4,4.62,53.2,2.36,2.36,1.52,2.36,0.98,0.75,1.05,0.98,0.87,1.29,1.01,40.7,65.7
2014,5,5.66,63.6,2.71,2.71,1.77,2.71,1.05,1.36,1.2,1.54,1.08,1.49,1.18,51.3,75.9
2014,6,3.98,71.7,2.57,2.57,0.41,2.57,0.18,0.78,1.13,1,1.45,1.17,1.39,60.9,82.6
2014,7,3.37,73.3,-0.09,2.21,-0.28,2.03,-0.31,-0.14,0.42,1.05,1.04,0.97,1.4,62.5,84
2014,8,3.66,70.6,-0.15,1.91,-0.21,1.58,0.04,-0.28,-0.23,0.61,1.05,0.85,1.23,60,81.2
2014,9,1.56,66.8,-0.79,1.06,-1.97,-0.16,-0.95,-0.74,-0.83,0.15,0.23,0.89,0.91,56.1,77.5
2014,10,4.36,56.9,-0.56,1.1,0.47,0.09,0.67,-0.12,-0.21,0.1,0.55,0.68,0.66,46.4,67.2
2014,11,2.51,41.6,-0.63,0.86,-0.39,-0.29,-0.02,0.42,-0.23,-0.39,0.31,0.72,0.79,31.6,51.6
2014,12,3.1,38.9,-0.43,0.91,0.42,-0.06,0.27,0.06,0.41,-0.38,0.37,0.41,0.9,30.4,47.3
2015,1,2.74,30.5,-0.29,0.91,0.27,0.05,0.13,0.17,0.07,-0.27,0.09,0.5,0.74,21.9,39
2015,2,1.61,26.3,-0.57,-0.57,-0.91,-0.57,-0.57,-0.38,-0.16,-0.39,-0.5,0.2,0.73,15.7,36.9
2015,3,3.13,40.6,-0.48,-0.48,0.07,-0.48,0.01,-0.4,-0.33,0.14,-0.54,0.18,0.68,28.9,52.2
2015,4,3.81,54.2,-0.28,-0.28,0.46,-0.28,0.53,0.31,-0.07,0.03,-0.28,0.02,0.85,41.8,66.7
2015,5,2.9,67,-0.86,-0.86,-1.82,-0.86,-0.53,-0.11,-0.15,-0.28,-0.41,-0.53,0.66,54.8,79.2
2015,6,7.18,72.3,1.33,1.33,3.98,1.33,1.66,0.96,1.01,0.54,0.65,-0.01,0.8,62.6,82
2015,7,4.7,74.5,1.6,1.6,1.22,1.6,0.61,1.61,1.06,0.75,0.57,0.26,0.89,64.6,84.4
2015,8,1.77,72.9,0.82,0.82,-1.84,-0.2,-1.44,-0.51,0.63,0.35,0.16,-0.01,0.6,61.2,84.5
2015,9,4.93,69,1.1,1.1,1.1,0.6,0.85,-0.14,0.07,0.69,0.42,0.58,0.99,58.2,79.8
2015,10,4.5,54.6,1.37,1.37,1.14,1.34,0.72,1,0.28,0.81,0.65,0.56,0.81,43.3,65.8
2015,11,2.36,50,1.03,1.03,-0.58,0.6,-0.12,0.42,0.71,0.96,0.73,0.52,0.8,38.8,61
2015,12,3.81,47.8,1.1,1.1,0.51,0.87,0.76,0.31,0.62,0.45,0.9,0.68,0.72,38.4,57.1
2016,1,3.16,31.2,1.25,1.25,0.81,1.25,0.45,0.71,0.42,0.35,0.89,0.75,0.81,21,41.4
2016,2,3.59,36.5,1.59,1.59,1.38,1.59,0.92,0.88,1.03,1.1,1.29,1.06,0.81,27.5,45.5
2016,3,1.41,49.9,-1.04,-1.04,-3.13,-1.04,-1.5,-0.24,0,0.46,0.33,0.79,0.59,38.4,61.4
2016,4,1.83,53.4,-1.52,-1.52,-1.74,-1.52,-1.01,-1.92,-0.9,-0.17,-0.1,0.47,0.25,40.5,66.2
