"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",-0.0222905838221514,-0.487637578214713,-0.240070772363871,-0.334689908400115,-0.216220362277171,-0.278310330716459,-0.196634158554097,-0.313941597638394,-0.0189434950102193,-0.136646662377732,-0.174609628766574,-0.16956953874195,-0.335853499181514,-0.0210255986398656,-0.130843005179335,-0.166355251837747,-0.205554288005604
"dtr",-0.138925610872783,0.0258014194600869,-0.115086821399155,-0.103515641136254,-0.329094403015529,-0.380269474808908,-0.260173014179176,-0.283582462152407,-0.391650643192748,-0.308707646462241,-0.342783144990956,-0.39314517020355,-0.321737280638747,-0.224140150103696,-0.389520052770864,-0.431563236203233,-0.473067859460112
"pet",-0.131357388343838,-0.0856686712544133,-0.240330103104219,-0.0226399862962928,-0.315798428293967,-0.451369995254279,-0.245802515710404,-0.524027356180428,-0.374020990450969,-0.319287240326614,-0.386144468604731,-0.354290534903868,-0.256833504502403,-0.378511621339096,-0.438029713340519,-0.416783772727351,-0.278395608279493
"PETminusPRE",-0.195609310096692,-0.0965855242035147,-0.218788625661566,-0.127405512386531,-0.258775370185584,-0.332492098687781,-0.13266391576463,-0.287177791725815,-0.303521624519752,-0.257096496808786,-0.21795280149962,-0.374382976205548,-0.283551638045907,-0.388233731376711,-0.40750809807152,-0.579466829880464,-0.409700131487153
"pre",-0.0971807472615799,-0.411782758966913,-0.232253293932703,-0.241613916771856,-0.131268021341732,-0.226653557927847,-0.271205434341143,-0.323955480236747,-0.0239713500771642,-0.432077145425355,-0.265406924598426,-0.185188104126515,-0.348130119080312,-0.0367681303492073,-0.0364124301977578,0.023584837143948,0.143009266725328
"tmn",0.00197795080223601,-0.150136188154316,-0.199586775296303,-0.0418637520947564,-0.0428942997964825,-0.187214763614057,-0.16952716313881,-0.242331470339632,-0.0701840202873988,-0.222388074201812,-0.252069721058182,-0.249628062800681,-0.045885215833188,-0.435444141030774,-0.199530463349726,-0.295677525422438,-0.244407509448632
"tmp",-0.00119251170435867,-0.111923559062369,-0.128423616909514,-0.00171039882799466,-0.0100350518716257,-0.253050013303004,-0.211716875497782,-0.30687209494642,-0.0791835018102918,-0.219224630008664,-0.309572550773374,-0.319488639072394,-0.128716319193333,-0.433755439226003,-0.254273393714779,-0.28125502850054,-0.409960276877265
"tmx",-0.0307376922586546,-0.0721059960630487,-0.0742901370909282,-0.0254945449476596,-0.175754881864596,-0.384811119343954,-0.203563049073088,-0.314762204716453,-0.0971504124414654,-0.217343545659323,-0.329357422868617,-0.369399798490764,-0.214319766309818,-0.398119256205827,-0.320937628793124,-0.367517916654791,-0.440441735649356
"vap",0.00758551781351896,-0.106128110079174,0.0406887686263781,0.0327194933799117,-0.0295789565150758,-0.224968569727015,-0.0949812888216302,0.0518788342879144,0.0736965381220414,-0.212811219589902,-0.172853562161441,-0.221764775961337,-0.12338406099458,-0.339378544899564,-0.213347447956685,-0.21713682171009,-0.14103422618698
"wet",-0.0988759802286164,-0.442358633160305,-0.215141807340974,-0.183876439175188,-0.076257598834249,-0.263261883417955,-0.208891431221371,-0.298169627590998,0.0286222997086573,-0.421551458169822,-0.262652960859012,-0.173143358135213,-0.330432760289593,-0.0779517545844426,-0.0981354960770879,0.0055179376671022,0.112631024987373
"PDSI_prewhiten",-0.174808373311616,-0.573808502470113,-0.281822456345738,-0.160659932412077,-0.184320475116745,-0.0852033412392272,-0.0832591995638755,-0.240234095251101,-0.122285608364384,-0.211858887728495,-0.223298796397112,-0.145084968315521,-0.345448072686183,-0.147767622402008,-0.0645614365276985,0.0866486733425351,0.150491266107456
