"Species","Climate_data","variable","month","ANPP_response","ANPP_response_percent"
"caco","CRU_SCBI_1901_2016","cld","prev.apr",3.9922636045138e-05,0.143474115606918
"caco","CRU_SCBI_1901_2016","cld","prev.may",-0.000717174540443968,-2.57738448958276
"caco","CRU_SCBI_1901_2016","cld","prev.jun",-0.00035827227789802,-1.28756022422409
"caco","CRU_SCBI_1901_2016","cld","prev.jul",-0.000244348763531254,-0.87814148112998
"caco","CRU_SCBI_1901_2016","cld","prev.aug",0.00126713936933187,4.5538501054902
"caco","CRU_SCBI_1901_2016","cld","prev.sep",0.000758458556317215,2.72575113700101
"caco","CRU_SCBI_1901_2016","cld","prev.oct",0.00018786292976003,0.675142484884272
"caco","CRU_SCBI_1901_2016","cld","prev.nov",0.000560944883361416,2.01592577588088
"caco","CRU_SCBI_1901_2016","cld","prev.dec",0.000198111786909004,0.711974865235313
"caco","CRU_SCBI_1901_2016","cld","curr.jan",6.12037957209884e-05,0.219954425176909
"caco","CRU_SCBI_1901_2016","cld","curr.feb",0.000927304353793838,3.33254978224862
"caco","CRU_SCBI_1901_2016","cld","curr.mar",0.000596790861146061,2.14474918210342
"caco","CRU_SCBI_1901_2016","cld","curr.apr",0.000419635686993151,1.50808826852946
"caco","CRU_SCBI_1901_2016","cld","curr.may",0.00115858965793805,4.16374375519792
"caco","CRU_SCBI_1901_2016","cld","curr.jun",0.00130046597456253,4.6736193814028
"caco","CRU_SCBI_1901_2016","cld","curr.jul",0.000934023035042187,3.35669540352127
"caco","CRU_SCBI_1901_2016","cld","curr.aug",1.04081619539675e-06,0.00374048905425655
"caco","CRU_SCBI_1901_2016","dtr","prev.apr",-0.000148840431542428,-0.534903287898058
"caco","CRU_SCBI_1901_2016","dtr","prev.may",0.000766079194624517,2.75313821485489
"caco","CRU_SCBI_1901_2016","dtr","prev.jun",0.000746869711318973,2.68410310341053
"caco","CRU_SCBI_1901_2016","dtr","prev.jul",0.00046214076930336,1.66084318898014
"caco","CRU_SCBI_1901_2016","dtr","prev.aug",-0.00162873384063837,-5.85334964055081
"caco","CRU_SCBI_1901_2016","dtr","prev.sep",-0.00115188836152999,-4.13966061162799
"caco","CRU_SCBI_1901_2016","dtr","prev.oct",-0.000684211957321317,-2.45892343765485
"caco","CRU_SCBI_1901_2016","dtr","prev.nov",-0.0008497148102353,-3.05370819649213
"caco","CRU_SCBI_1901_2016","dtr","prev.dec",-0.000535986812066781,-1.92623136787126
"caco","CRU_SCBI_1901_2016","dtr","curr.jan",0.000158516083854483,0.569675682607232
"caco","CRU_SCBI_1901_2016","dtr","curr.feb",3.4863807522878e-05,0.125293679139304
"caco","CRU_SCBI_1901_2016","dtr","curr.mar",-0.000832688519553881,-2.99251905069471
"caco","CRU_SCBI_1901_2016","dtr","curr.apr",-0.000351632779848138,-1.26369917182004
"caco","CRU_SCBI_1901_2016","dtr","curr.may",-0.00106610166992194,-3.83136008519501
"caco","CRU_SCBI_1901_2016","dtr","curr.jun",-0.00146633532520169,-5.26972126110687
"caco","CRU_SCBI_1901_2016","dtr","curr.jul",-0.000810303070208334,-2.9120701408661
"caco","CRU_SCBI_1901_2016","dtr","curr.aug",0.000186333353699695,0.669645488837669
"caco","CRU_SCBI_1901_2016","frs","prev.oct",-0.000345706922757826,-1.24240280490969
"caco","CRU_SCBI_1901_2016","frs","prev.nov",-0.000772502962264335,-2.77622397452129
"caco","CRU_SCBI_1901_2016","frs","prev.dec",-0.00169673841488794,-6.0977447285067
"caco","CRU_SCBI_1901_2016","frs","curr.jan",0.000137316649616512,0.49348907821515
"caco","CRU_SCBI_1901_2016","frs","curr.feb",0.000476365260262863,1.71196321667735
"caco","CRU_SCBI_1901_2016","frs","curr.mar",-0.000474703284471144,-1.70599040199128
"caco","CRU_SCBI_1901_2016","frs","curr.apr",7.61000775725065e-05,0.273488737441799
"caco","CRU_SCBI_1901_2016","frs","curr.may",-0.000630863580716533,-2.26719984646257
"caco","CRU_SCBI_1901_2016","pet","prev.apr",-0.000649048694447988,-2.33255357478056
"caco","CRU_SCBI_1901_2016","pet","prev.may",0.000699921108670482,2.51537904329694
"caco","CRU_SCBI_1901_2016","pet","prev.jun",-0.000131406171109443,-0.472247978913576
"caco","CRU_SCBI_1901_2016","pet","prev.jul",0.000475699856666883,1.70957188679756
"caco","CRU_SCBI_1901_2016","pet","prev.aug",-0.00135221014280014,-4.8595777626909
"caco","CRU_SCBI_1901_2016","pet","prev.sep",-0.00078355670413973,-2.81594895254945
"caco","CRU_SCBI_1901_2016","pet","prev.oct",-0.000502686718272916,-1.80655736885726
"caco","CRU_SCBI_1901_2016","pet","prev.nov",-0.000401706648383595,-1.44365482392224
"caco","CRU_SCBI_1901_2016","pet","prev.dec",0.000106352200479068,0.382208927520011
"caco","CRU_SCBI_1901_2016","pet","curr.jan",-0.000423208878962963,-1.52092961891481
"caco","CRU_SCBI_1901_2016","pet","curr.feb",-0.000771580834946276,-2.77291002998902
"caco","CRU_SCBI_1901_2016","pet","curr.mar",-9.01660783520185e-05,-0.324039182549806
"caco","CRU_SCBI_1901_2016","pet","curr.apr",-0.000363544921311649,-1.30650906943124
"caco","CRU_SCBI_1901_2016","pet","curr.may",-0.00151268209486803,-5.43628245164543
"caco","CRU_SCBI_1901_2016","pet","curr.jun",-0.00205077695265247,-7.37008972193603
"caco","CRU_SCBI_1901_2016","pet","curr.jul",-0.000990411291946897,-3.5593437276668
"caco","CRU_SCBI_1901_2016","pet","curr.aug",-6.72130058814897e-05,-0.241550346656123
"caco","CRU_SCBI_1901_2016","pet_sum","prev.apr",-0.000639166756052582,-2.29703982838967
"caco","CRU_SCBI_1901_2016","pet_sum","prev.may",0.000698936072991572,2.51183901846709
"caco","CRU_SCBI_1901_2016","pet_sum","prev.jun",-9.2852042756289e-05,-0.333692011261283
"caco","CRU_SCBI_1901_2016","pet_sum","prev.jul",0.000504344634342523,1.81251559369914
"caco","CRU_SCBI_1901_2016","pet_sum","prev.aug",-0.00133606475675509,-4.80155441520136
"caco","CRU_SCBI_1901_2016","pet_sum","prev.sep",-0.00078756956898416,-2.83037040092159
"caco","CRU_SCBI_1901_2016","pet_sum","prev.oct",-0.000492575088887996,-1.77021815814718
"caco","CRU_SCBI_1901_2016","pet_sum","prev.nov",-0.000382011952573452,-1.37287595400211
"caco","CRU_SCBI_1901_2016","pet_sum","prev.dec",8.89538048655658e-05,0.319682509655114
"caco","CRU_SCBI_1901_2016","pet_sum","curr.jan",-0.000426798962062883,-1.5338316727054
"caco","CRU_SCBI_1901_2016","pet_sum","curr.feb",-0.000759344227111033,-2.72893406394296
"caco","CRU_SCBI_1901_2016","pet_sum","curr.mar",-9.4198003191534e-05,-0.338529128802078
"caco","CRU_SCBI_1901_2016","pet_sum","curr.apr",-0.000385257691843263,-1.38454050367514
"caco","CRU_SCBI_1901_2016","pet_sum","curr.may",-0.00156303170817913,-5.61722907633204
"caco","CRU_SCBI_1901_2016","pet_sum","curr.jun",-0.00204208226466207,-7.33884272039807
"caco","CRU_SCBI_1901_2016","pet_sum","curr.jul",-0.000965057735586694,-3.46822802398036
"caco","CRU_SCBI_1901_2016","pet_sum","curr.aug",-2.22450432227871e-05,-0.0799443177905015
"caco","CRU_SCBI_1901_2016","pre","prev.apr",0.000774204898030491,2.78234039750981
"caco","CRU_SCBI_1901_2016","pre","prev.may",-0.00104138468365111,-3.74253208942673
"caco","CRU_SCBI_1901_2016","pre","prev.jun",-0.000820582616508685,-2.94901281200174
"caco","CRU_SCBI_1901_2016","pre","prev.jul",0.000204443938026412,0.734731373107997
"caco","CRU_SCBI_1901_2016","pre","prev.aug",0.00172620670635624,6.20364798229185
"caco","CRU_SCBI_1901_2016","pre","prev.sep",0.00133008893146818,4.78007847240311
"caco","CRU_SCBI_1901_2016","pre","prev.oct",-0.000110511512697836,-0.397156679002306
"caco","CRU_SCBI_1901_2016","pre","prev.nov",0.00076091440866316,2.73457698815466
"caco","CRU_SCBI_1901_2016","pre","prev.dec",-0.000224208144119765,-0.805760049338458
"caco","CRU_SCBI_1901_2016","pre","curr.jan",6.5500871106787e-05,0.235397270433336
"caco","CRU_SCBI_1901_2016","pre","curr.feb",-0.000325240364880647,-1.16885001426666
"caco","CRU_SCBI_1901_2016","pre","curr.mar",0.000105297668510234,0.378419146668952
"caco","CRU_SCBI_1901_2016","pre","curr.apr",0.000398656233299165,1.43269223102187
"caco","CRU_SCBI_1901_2016","pre","curr.may",0.00133798684239508,4.80846201361261
"caco","CRU_SCBI_1901_2016","pre","curr.jun",0.00157701460132961,5.66748084893853
"caco","CRU_SCBI_1901_2016","pre","curr.jul",7.22253162688223e-05,0.259563606080096
"caco","CRU_SCBI_1901_2016","pre","curr.aug",-0.000446208146782302,-1.6035844718222
"caco","CRU_SCBI_1901_2016","tmn","prev.apr",-0.00107494457595779,-3.86313975328742
"caco","CRU_SCBI_1901_2016","tmn","prev.may",-0.000680850726317014,-2.4468438333635
"caco","CRU_SCBI_1901_2016","tmn","prev.jun",-0.000637828290221926,-2.29222964498629
"caco","CRU_SCBI_1901_2016","tmn","prev.jul",0.000223854144558475,0.804487844418827
"caco","CRU_SCBI_1901_2016","tmn","prev.aug",0.000688004980753713,2.47255481915542
"caco","CRU_SCBI_1901_2016","tmn","prev.sep",0.000321567405772088,1.15565012037275
"caco","CRU_SCBI_1901_2016","tmn","prev.oct",-0.000151131296789193,-0.543136207810526
"caco","CRU_SCBI_1901_2016","tmn","prev.nov",0.00075600567818556,2.71693597458957
"caco","CRU_SCBI_1901_2016","tmn","prev.dec",0.0016627458232386,5.97558202816391
"caco","CRU_SCBI_1901_2016","tmn","curr.jan",-0.000357155823094361,-1.28354790486248
"caco","CRU_SCBI_1901_2016","tmn","curr.feb",-0.000518595788335376,-1.86373144310324
"caco","CRU_SCBI_1901_2016","tmn","curr.mar",0.000411570636415611,1.47910406023146
"caco","CRU_SCBI_1901_2016","tmn","curr.apr",1.85018020483485e-05,0.0664918439508794
"caco","CRU_SCBI_1901_2016","tmn","curr.may",-0.000491487850063518,-1.76631083527854
"caco","CRU_SCBI_1901_2016","tmn","curr.jun",-0.00135483454226865,-4.86900933911078
"caco","CRU_SCBI_1901_2016","tmn","curr.jul",-0.000276598527785978,-0.99404080200014
"caco","CRU_SCBI_1901_2016","tmn","curr.aug",-0.000530910466686071,-1.90798797925361
"caco","CRU_SCBI_1901_2016","tmp","prev.apr",-0.000937490378474251,-3.36915635504407
"caco","CRU_SCBI_1901_2016","tmp","prev.may",-0.000261905276634843,-0.941236142209744
"caco","CRU_SCBI_1901_2016","tmp","prev.jun",-0.000447242623761532,-1.60730217897819
"caco","CRU_SCBI_1901_2016","tmp","prev.jul",0.000364481693130667,1.30987564342468
"caco","CRU_SCBI_1901_2016","tmp","prev.aug",-0.000393548055101063,-1.41433444150851
"caco","CRU_SCBI_1901_2016","tmp","prev.sep",-0.000110699535908268,-0.397832397504455
"caco","CRU_SCBI_1901_2016","tmp","prev.oct",-0.000325176378218769,-1.1686200587669
"caco","CRU_SCBI_1901_2016","tmp","prev.nov",0.000364605587970954,1.31032089715538
"caco","CRU_SCBI_1901_2016","tmp","prev.dec",0.00115844624381364,4.16322835299248
"caco","CRU_SCBI_1901_2016","tmp","curr.jan",-0.000294273371606788,-1.05756072044476
"caco","CRU_SCBI_1901_2016","tmp","curr.feb",-0.000430459258910498,-1.54698606091956
"caco","CRU_SCBI_1901_2016","tmp","curr.mar",0.000230962785963081,0.830034905928977
"caco","CRU_SCBI_1901_2016","tmp","curr.apr",-8.99007442068528e-05,-0.323085623727314
"caco","CRU_SCBI_1901_2016","tmp","curr.may",-0.000912264193512275,-3.27849839915499
"caco","CRU_SCBI_1901_2016","tmp","curr.jun",-0.00168204480306506,-6.04493877253286
"caco","CRU_SCBI_1901_2016","tmp","curr.jul",-0.000503498657798161,-1.80947532009623
"caco","CRU_SCBI_1901_2016","tmp","curr.aug",-0.000300791312281119,-1.08098491950743
"caco","CRU_SCBI_1901_2016","tmx","prev.apr",-0.000836405406357356,-3.00587681209946
"caco","CRU_SCBI_1901_2016","tmx","prev.may",4.40688845843897e-05,0.15837491878993
"caco","CRU_SCBI_1901_2016","tmx","prev.jun",-0.000182503874902776,-0.655883093914593
"caco","CRU_SCBI_1901_2016","tmx","prev.jul",0.000428225304489747,1.53895766734201
"caco","CRU_SCBI_1901_2016","tmx","prev.aug",-0.000941134311517666,-3.38225193495877
"caco","CRU_SCBI_1901_2016","tmx","prev.sep",-0.000491258155876827,-1.76548535946932
"caco","CRU_SCBI_1901_2016","tmx","prev.oct",-0.000502545209547043,-1.80604881428005
"caco","CRU_SCBI_1901_2016","tmx","prev.nov",-6.14654607750988e-05,-0.220894798006531
"caco","CRU_SCBI_1901_2016","tmx","prev.dec",0.00079849295724551,2.86962691365427
"caco","CRU_SCBI_1901_2016","tmx","curr.jan",-0.000313539197623093,-1.12679831652936
"caco","CRU_SCBI_1901_2016","tmx","curr.feb",-0.000479728988718734,-1.72405179631929
"caco","CRU_SCBI_1901_2016","tmx","curr.mar",3.67233304732172e-05,0.131976439527397
"caco","CRU_SCBI_1901_2016","tmx","curr.apr",-0.000187855272876358,-0.675114967547692
"caco","CRU_SCBI_1901_2016","tmx","curr.may",-0.0012044511475307,-4.32856094443067
"caco","CRU_SCBI_1901_2016","tmx","curr.jun",-0.00202148949550674,-7.26483635120146
"caco","CRU_SCBI_1901_2016","tmx","curr.jul",-0.000774981493662542,-2.785131329736
"caco","CRU_SCBI_1901_2016","tmx","curr.aug",-0.00013387801152686,-0.481131288057023
"caco","CRU_SCBI_1901_2016","vap","prev.apr",-0.00136277086814792,-4.89753093611679
"caco","CRU_SCBI_1901_2016","vap","prev.may",-0.0012083157464061,-4.34244955402041
"caco","CRU_SCBI_1901_2016","vap","prev.jun",-0.000225652763828084,-0.810951728936094
"caco","CRU_SCBI_1901_2016","vap","prev.jul",-5.94869423942816e-05,-0.213784391404652
"caco","CRU_SCBI_1901_2016","vap","prev.aug",0.000683336757761818,2.45577814227314
"caco","CRU_SCBI_1901_2016","vap","prev.sep",0.000479368299533954,1.72275555020627
"caco","CRU_SCBI_1901_2016","vap","prev.oct",8.82383136638805e-05,0.317111174754526
"caco","CRU_SCBI_1901_2016","vap","prev.nov",0.000955399783221299,3.43351923940431
"caco","CRU_SCBI_1901_2016","vap","prev.dec",0.00225374993049834,8.09953475296085
"caco","CRU_SCBI_1901_2016","vap","curr.jan",-0.000166815592630574,-0.599502487637719
"caco","CRU_SCBI_1901_2016","vap","curr.feb",-0.000397344867131919,-1.42797943848809
"caco","CRU_SCBI_1901_2016","vap","curr.mar",0.000759106949381881,2.72808133437108
"caco","CRU_SCBI_1901_2016","vap","curr.apr",0.000482264818500073,1.73316507067312
"caco","CRU_SCBI_1901_2016","vap","curr.may",-0.000106019187732176,-0.381012145090811
"caco","CRU_SCBI_1901_2016","vap","curr.jun",-0.000745728235085764,-2.68000086194379
"caco","CRU_SCBI_1901_2016","vap","curr.jul",0.000182542326374671,0.656021280955092
"caco","CRU_SCBI_1901_2016","vap","curr.aug",-0.000361245467345936,-1.29824528334917
"caco","CRU_SCBI_1901_2016","wet","prev.apr",0.000723826091390739,2.60128885773178
"caco","CRU_SCBI_1901_2016","wet","prev.may",-0.000908025427354735,-3.26326510581659
"caco","CRU_SCBI_1901_2016","wet","prev.jun",-0.00199894032064322,-7.18379904400686
"caco","CRU_SCBI_1901_2016","wet","prev.jul",0.000170670203371383,0.613355201832776
"caco","CRU_SCBI_1901_2016","wet","prev.aug",0.00170668402220399,6.13348728849771
"caco","CRU_SCBI_1901_2016","wet","prev.sep",0.00132045884944077,4.74546984834976
"caco","CRU_SCBI_1901_2016","wet","prev.oct",-0.000113104659357478,-0.406475938963257
"caco","CRU_SCBI_1901_2016","wet","prev.nov",0.000807720098467989,2.90278744756738
"caco","CRU_SCBI_1901_2016","wet","prev.dec",-0.00015043131812064,-0.540620621908316
"caco","CRU_SCBI_1901_2016","wet","curr.jan",8.14823117231689e-05,0.292831430241005
"caco","CRU_SCBI_1901_2016","wet","curr.feb",-0.000395577482612677,-1.42162780553106
"caco","CRU_SCBI_1901_2016","wet","curr.mar",3.2430908175906e-05,0.116550316557414
"caco","CRU_SCBI_1901_2016","wet","curr.apr",0.000424675301049209,1.52619965197808
"caco","CRU_SCBI_1901_2016","wet","curr.may",0.0012148806534123,4.36604254085853
"caco","CRU_SCBI_1901_2016","wet","curr.jun",0.00180328653774937,6.48065776260187
"caco","CRU_SCBI_1901_2016","wet","curr.jul",0.0004667313142049,1.67734070605685
"caco","CRU_SCBI_1901_2016","wet","curr.aug",-0.000385882451720325,-1.38678576800906
