Variable,Tmin,Tmean,Tmax,PPT
F1934.04,4.1106,11.210001,18.3066998,67.9160004
F1934.05,10.4525003,17.6300011,24.8059006,105.291008
F1934.06,16.4797993,23.5000019,30.5272007,66.3170013
F1934.07,18.1233997,25.2800007,32.4362984,66.5870056
F1934.08,15.3465996,21.5800018,27.8192997,115.154007
F1934.09,13.8842001,19.5300007,25.1669998,169.7830048
F1934.10,5.5966001,12.6200008,19.6345997,22.7350006
F1934.11,2.3815999,8.25,14.1276999,86.2120056
F1934.12,-3.4031,1.35,6.1030002,82.3700027
F1935.01,-6.3565001,-1.2,3.9566,119.1530075
F1935.02,-5.0826001,0.37,5.8237,48.3880005
F1935.03,1.9947,8.0600004,14.1243,82.3040009
F1935.04,3.7153001,9.5,15.2798996,83.2110062
F1935.05,8.5586996,15.0600004,21.5645008,80.1990051
F1935.06,13.6450005,20.6300011,27.6173992,61.2240028
F1935.07,18.3446007,24.7800007,31.2194004,63.8120041
F1935.08,16.6394005,22.8200016,29.0028992,73.2470016
F1935.09,11.7180996,17.9400005,24.1576996,154.3350067
F1935.10,5.7460999,13.0700006,20.3932991,76.026001
F1935.11,3.3116,8.1090002,12.9130001,96.0250015
F1935.12,-5.7233,-1.83,2.0659001,55.6410027
F1936.01,-8.0207996,-3.3000002,1.4108,115.1440048
F1936.02,-8.6522999,-3.21,2.2293,79.5370026
F1936.03,2.5085001,8.4400005,14.3698997,236.5310059
F1936.04,3.1059,9.6800003,16.2553005,48.8470039
F1936.05,10.4635,18.4500008,26.427,42.3880005
F1936.06,13.9731998,20.960001,27.9550991,77.5740051
F1936.07,16.9647007,24.2600002,31.5620003,74.5440063
F1936.08,17.3150997,24.0900021,30.8572006,72.8080063
F1936.09,14.0794001,20.5400009,26.9923992,50.0000038
F1936.10,7.7753,14.1500006,20.5307999,120.5490036
F1936.11,0.3823,5.6300001,10.8799,23.7110004
F1936.12,-2.4052,1.9900001,6.3922,116.1810074
F1937.01,-0.0556,4.5700002,9.1995001,148.9920044
F1937.02,-3.9353001,1.12,6.1687002,89.5970078
F1937.03,-1.2144001,3.8800001,8.9771004,28.5410023
F1937.04,4.2667999,10.4200001,16.5690002,205.9340057
F1937.05,9.7816,17.1100006,24.4328003,58.2140045
F1937.06,15.7491999,22.2700005,28.7978992,136.8370056
F1937.07,16.2373009,22.7800007,29.3146,73.0330048
F1937.08,17.5540009,23.8800011,30.2075005,192.9210052
F1937.09,10.6136999,17.1500015,23.6921005,70.9300003
F1937.10,5.6329999,11.3300009,17.0305004,213.3690033
F1937.11,0.3701,6.0700002,11.7683001,91.0990067
F1937.12,-3.6617999,1.0700001,5.8044,11.9650002
F1938.01,-4.6897001,0.01,4.7019,49.7960014
F1938.02,-1.3559999,4.25,9.8636999,39.3930016
F1938.03,1.8687,8.0100002,14.1458998,64.2120056
F1938.04,5.5924001,12.4800005,19.3675995,48.6750031
F1938.05,10.1784,16.5,22.8265991,110.2510071
F1938.06,13.6546001,20.5700016,27.4808006,78.7730026
F1938.07,17.0403004,23.8300018,30.6240005,89.3930054
F1938.08,16.6840992,23.7200012,30.7640991,52.2990036
F1938.09,11.9694996,17.75,23.5380001,92.4830017
F1938.10,5.7010999,13.1800003,20.6637001,41.1530037
F1938.11,0.5581,7.4100003,14.2648001,88.5780029
F1938.12,-3.402,1.1,5.5943999,93.5230026
F1939.01,-3.8311999,1.0400001,5.9162998,85.8590012
F1939.02,-2.2138,3.4000001,9.0078001,109.314003
F1939.03,0.4225,6.5000005,12.5846004,77.4660034
F1939.04,3.5974,9.9200001,16.2406998,88.7670059
F1939.05,10.3098001,17.6500015,24.9979992,33.882
F1939.06,15.7917004,22.2200012,28.6518002,118.8920059
F1939.07,16.0674992,22.210001,28.3589993,122.3760071
F1939.08,16.6238995,23.0400009,29.4519997,67.0070038
F1939.09,12.6019001,19.6800003,26.7579002,44.0820007
F1939.10,6.3790998,13.420001,20.4524994,113.442009
F1939.11,0.0117,5.5900002,11.1723003,77.7770004
F1939.12,-1.8243001,2.8400002,7.5131998,45.6180038
F1940.01,-11.0011997,-6.4000001,-1.7897,58.5630035
F1940.02,-3.6552,1.0400001,5.7258,59.6380043
F1940.03,-1.7957,3.3800001,8.5558996,91.9630051
F1940.04,2.7985001,8.9800005,15.1671,121.8060074
F1940.05,9.4804001,16.4400005,23.3948994,118.5800018
F1940.06,14.7341003,21.3900013,28.0452995,92.5470047
F1940.07,15.6570997,22.8600006,30.0543003,111.2780075
F1940.08,15.3382998,20.6800003,26.0258999,141.7480011
F1940.09,10.2525997,17.25,24.2458992,71.6860046
F1940.10,5.2799001,11.8400002,18.3994999,81.503006
F1940.11,1.6883,6.6800003,11.6733999,129.8880005
F1940.12,-1.0302,4.0300002,9.0816002,67.7580032
F1941.01,-4.9285002,-0.8200001,3.2820001,66.4440002
F1941.02,-5.9535999,-0.8700001,4.2202001,11.4580002
F1941.03,-3.6903999,2.0400002,7.7751999,48.8060036
F1941.04,6.4629002,14.1600008,21.8596001,69.015007
F1941.05,9.0397997,17.6600018,26.2740993,40.493
F1941.06,13.7634001,20.6200008,27.4736996,108.5230026
F1941.07,17.3262005,23.3600006,29.4001999,134.1750031
F1941.08,14.5768995,21.7600002,28.9421997,113.9980087
F1941.09,12.5584002,20.1400013,27.7189007,21.3340015
F1941.10,9.2621002,16.4900017,23.7187996,26.3430004
F1941.11,1.2481,8.2700005,15.2952003,49.1830025
F1941.12,-1.187,3.9200001,9.0185003,87.3450012
F1942.01,-5.5251999,-0.43,4.6750998,57.8670044
F1942.02,-5.8898001,-0.53,4.8316002,33.2080002
F1942.03,1.1416,6.5300002,11.9090996,139.4530029
F1942.04,5.8695002,13.5100002,21.1506004,24.5900021
F1942.05,11.3459997,18.3200016,25.2968006,130.7070007
F1942.06,15.9336004,21.6900005,27.4384995,117.2580032
F1942.07,17.1504002,23.8700008,30.5839996,89.6380005
F1942.08,15.8353004,21.6000004,27.3708,202.0870056
F1942.09,12.3212996,18.75,25.1737003,111.8390045
F1942.10,7.9036002,13.8000002,19.6895008,381.1920166
F1942.11,2.2939999,7.5300002,12.7735004,49.576004
F1942.12,-4.8002,-0.45,3.8989,88.0830078
F1943.01,-3.6873,1.1,5.8815999,63.0780029
F1943.02,-3.8491001,2.0600002,7.9700999,24.670002
F1943.03,-1.1508,5.1000004,11.3463001,105.4070053
F1943.04,2.6686001,9.5800009,16.4997997,78.6190033
F1943.05,11.2468004,18.1300011,25.0053005,104.4210052
F1943.06,17.6208,24.210001,30.7901993,74.6600037
F1943.07,16.5655003,23.210001,29.8544998,70.2630005
F1943.08,15.8857002,23.6400013,31.3959007,38.5880013
F1943.09,10.1279001,17.6800003,25.2336006,35.6610031
F1943.10,5.6553998,11.960001,18.2679996,84.151001
F1943.11,-0.0454,6.3100004,12.6695004,101.3370056
F1943.12,-5.1816001,1.13,7.4487,33.3540001
F1944.01,-4.3778,0.96,6.2951999,61.9250031
