"year","month","cld","drt","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet"
1901,1,71.9,11.8,25.99,1.1,34.1,63.1,-4.7,1.2,7.1,4.8,12.75
1901,2,70.6,12.5,26.58,1.1,30.8,7,-8.9,-2.6,3.7,3.5,6.86
1901,3,69.4,13.5,20.27,2.4,74.4,83.7,-0.9,5.9,12.7,5.4,10.86
1901,4,74.6,11.7,9.7,2.5,75,159.6,3,8.8,14.7,7.9,14.75
1901,5,72.4,12.1,0,3.3,102.3,150.7,10,16,22.1,13.1,11.48
1901,6,64.8,13.2,0,4.2,126,164.3,14.6,21.2,27.8,17.8,12.85
1901,7,68.4,14.3,0,4.8,148.8,103.1,19.8,26.9,34.1,23.9,11.38
1901,8,68.3,14.4,0,3.9,120.9,173.2,17.5,24.7,31.9,23.3,10.52
1901,9,58.1,15.3,0,2.8,84,98.9,10.1,17.7,25.4,16.5,6.93
1901,10,44.5,17.8,7.61,2.7,83.7,11.2,4,12.9,21.8,9.6,5.06
1901,11,66.4,14.3,23.26,1.4,42,54.7,-2.9,4.3,11.5,5.9,8.43
1901,12,67.6,12.7,26.58,1.2,37.2,117.6,-5.3,1.1,7.5,4.3,17.2
1902,1,69.3,11.4,27.14,1.1,34.1,63.7,-5.9,-0.2,5.5,4.1,13.46
1902,2,73,11.5,26.05,1.2,33.6,97.9,-8,-2.2,3.6,3.5,13.48
1902,3,68.9,14.1,18.19,2.1,65.1,84.9,-0.1,7,14.1,7.3,12.21
1902,4,67,14.4,7.36,3.3,99,69.8,4,11.2,18.4,8,9.49
1902,5,61.3,16.2,0,4.5,139.5,55.2,10.8,18.9,27,13.7,10.9
1902,6,56.3,16.3,0,4.8,144,99,13.6,21.7,29.9,17.8,11.91
1902,7,56.3,14.9,0,5,155,37.3,18.1,25.5,33,21.8,9.51
1902,8,52.7,16.1,0,4.2,130.2,77,14.8,22.8,30.9,20.6,7.52
1902,9,50.4,15.6,0,3.1,93,65.1,10.7,18.5,26.3,16.5,11.83
1902,10,56.8,17.4,6.27,2.4,74.4,103.7,4.6,13.3,22,11.2,12.14
1902,11,65.1,15,9.7,2,60,80.9,3,10.5,18,8.5,10.69
1902,12,74.1,9.7,24.82,1,31,103,-3.6,1.3,6.2,4.9,15.07
1903,1,71,10.4,26.48,0.9,27.9,85.7,-5.2,0,5.2,4.8,13.89
1903,2,65.8,12.8,22.62,1.5,42,85.6,-3.8,2.6,9,5.2,15.45
1903,3,69.1,13.8,7.84,3,93,106.2,3.9,10.8,17.7,7.3,15.83
1903,4,67.9,14.2,5.46,3.3,99,101.1,4.9,12,19.1,8.5,13.22
1903,5,59.3,16,0,4.3,133.3,86.9,10.7,18.7,26.7,14.4,10.48
1903,6,71.4,14.4,0,4,120,206.7,13.2,20.4,27.6,17.2,11.32
1903,7,58.1,14.8,0,4.9,151.9,64.6,17.9,25.3,32.7,21.5,12.07
1903,8,64.5,14.9,0,4.2,130.2,119.4,16.2,23.6,31.1,20,10.29
1903,9,48,15.8,0,3.5,105,57.4,11.7,19.6,27.5,15.9,5.62
1903,10,61.4,16.3,4.09,2.5,77.5,88.3,5.7,13.8,22,10.6,9.95
1903,11,56.4,16.5,23.48,1.7,51,21.8,-3.1,5.2,13.5,5.9,6.06
1903,12,67.9,13,28.4,1,31,27.2,-7.4,-0.9,5.6,4.2,9.72
1904,1,67,12.4,29.24,1.1,34.1,51.8,-8.6,-2.4,3.8,3.4,12.13
1904,2,66.3,12.8,27.24,1.3,37.7,29,-8.4,-2,4.4,3.5,9.45
1904,3,68.8,13.4,18.45,2.6,80.6,54.4,-0.2,6.5,13.2,5.3,11.86
1904,4,68.3,14.2,9.94,3.1,93,66.5,2.9,10,17.1,7.6,11.93
1904,5,63.6,16.3,0,3.9,120.9,81.5,9.9,18,26.2,15,11.19
1904,6,63.4,16.4,0,4.9,147,144.7,14.6,22.8,31,17.7,13.34
1904,7,63.3,15.8,0,4.6,142.6,123.8,16.6,24.5,32.4,21.5,12.77
1904,8,60.5,16.2,0,4.2,130.2,68.9,15.4,23.5,31.6,20.6,10.01
1904,9,51.4,15.7,0,3.6,108,51,12.8,20.6,28.5,16.7,10.93
1904,10,41.5,18,7.38,2.8,86.8,32.1,4.1,13.1,22.1,9.3,7.18
1904,11,61.3,15.7,22.46,1.6,48,32.9,-2.2,5.7,13.6,6.5,8.53
1904,12,73,12.3,28.17,0.9,27.9,69.1,-7.1,-0.9,5.3,4.2,12.71
1905,1,70,12.2,28.55,1.2,37.2,81.9,-7.6,-1.5,4.6,3.5,13.76
1905,2,70.5,11.9,27.16,0.9,25.2,51.8,-10.1,-4.1,1.9,3.5,11.32
1905,3,65.5,14,15.79,2.7,83.7,61,0.8,7.8,14.8,6.1,11.87
1905,4,64,16.7,5.86,3.9,117,54.2,4.7,13,21.4,8.3,11.28
1905,5,68.2,16.2,0,4.3,133.3,104.9,10.7,18.8,26.9,13.8,12.41
1905,6,65.8,17.2,0,5,150,175.1,14.6,23.2,31.8,18.1,12.09
1905,7,68.8,15.8,0,4.6,142.6,121.2,17.2,25.1,33,21.6,16.49
1905,8,64.9,16,0,4.3,133.3,105.7,16.1,24.1,32.1,20.4,15.56
1905,9,52.4,16.2,0,3.5,105,49.2,12,20.1,28.2,16.8,8.19
1905,10,51,18.6,6.71,2.8,86.8,76.8,4.4,13.7,23,10.1,8.6
1905,11,58.4,16.5,21.77,1.8,54,25.5,-1.8,6.5,14.8,6.5,6.62
1905,12,72.2,12.6,25.57,1.1,34.1,103.3,-4.3,2,8.3,5.1,15.01
1906,1,70.5,11.6,22.25,1.5,46.5,61,-1.7,4.1,9.9,5.1,13.45
1906,2,62.3,15.9,24.92,1.7,47.6,27.3,-6.4,1.6,9.6,4.5,9.79
1906,3,79.3,10.2,23.8,1.5,46.5,122.9,-2.7,2.4,7.5,5.3,13.61
