"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",4,1,3,4,4,3,1,6,5,1,5,6,1,4,6,4,4
"dtr",6,7,0,3,4,6,7,2,3,2,1,2,5,2,2,3,2
"pet",6,8,4,4,4,3,6,2,3,7,2,1,6,1,1,1,2
"PETminusPRE",6,8,3,4,7,5,8,1,7,7,2,2,2,2,2,4,1
"pre",3,0,5,5,1,3,0,7,1,1,6,5,7,6,6,2,6
"tmn",7,4,4,3,2,1,1,7,3,7,4,1,5,3,4,2,6
"tmp",6,7,2,0,1,1,2,2,3,7,4,2,5,1,4,2,3
"tmx",6,7,0,1,2,3,6,2,2,6,3,2,6,1,4,2,3
"vap",7,2,1,2,3,4,0,7,3,5,3,6,4,3,5,3,7
"wet",2,0,6,5,1,3,0,4,1,0,6,6,7,7,6,3,5
"PDSI_prewhiten",1,3,8,5,2,3,1,2,5,1,7,7,6,7,6,4,7
