"Species","Num_of_trees","sss","Year"
"CACO",1,0.271,1889
"CACO",2,0.445,1894
"CACO",3,0.566,1904
"CACO",4,0.654,1908
"CACO",5,0.723,1909
"CACO",6,0.776,1916
"CACO",7,0.82,1917
"CACO",8,0.856,1922
"CACO",9,0.887,1923
"CACO",10,0.912,1933
"CACO",11,0.935,1936
"CACO",12,0.954,1938
"CACO",13,0.971,1940
"CACO",14,0.986,1942
"CACO",15,1,1944
"CAGL",1,0.206,1868
"CAGL",2,0.349,1871
"CAGL",3,0.454,1878
"CAGL",4,0.534,1880
"CAGL",5,0.598,1880
"CAGL",6,0.65,1881
"CAGL",7,0.692,1890
"CAGL",8,0.728,1890
"CAGL",9,0.759,1891
"CAGL",10,0.785,1900
"CAGL",11,0.808,1901
"CAGL",12,0.828,1901
"CAGL",13,0.846,1902
"CAGL",14,0.862,1902
"CAGL",15,0.876,1902
"CAGL",16,0.889,1905
"CAGL",17,0.901,1906
"CAGL",18,0.912,1906
"CAGL",19,0.922,1907
"CAGL",20,0.931,1907
"CAGL",21,0.939,1916
"CAGL",22,0.946,1917
"CAGL",23,0.954,1921
"CAGL",24,0.96,1923
"CAGL",25,0.966,1929
"CAGL",26,0.972,1930
"CAGL",27,0.977,1930
"CAGL",28,0.983,1931
"CAGL",29,0.987,1931
"CAGL",30,0.992,1932
"CAGL",31,0.996,1935
"CAGL",32,1,1936
"CAOVL",1,0.296,1884
"CAOVL",2,0.468,1890
"CAOVL",3,0.581,1892
"CAOVL",4,0.661,1892
"CAOVL",5,0.72,1893
"CAOVL",6,0.765,1895
"CAOVL",7,0.802,1896
"CAOVL",8,0.831,1899
"CAOVL",9,0.856,1900
"CAOVL",10,0.877,1907
"CAOVL",11,0.894,1915
"CAOVL",12,0.91,1917
"CAOVL",13,0.923,1917
"CAOVL",14,0.935,1918
"CAOVL",15,0.945,1920
"CAOVL",16,0.955,1921
"CAOVL",17,0.963,1923
"CAOVL",18,0.971,1925
"CAOVL",19,0.978,1926
"CAOVL",20,0.984,1928
"CAOVL",21,0.99,1930
"CAOVL",22,0.995,1931
"CAOVL",23,1,1940
"CATO",1,0.199,1868
"CATO",2,0.347,1889
"CATO",3,0.46,1906
"CATO",4,0.551,1919
"CATO",5,0.624,1919
"CATO",6,0.685,1920
"CATO",7,0.736,1920
"CATO",8,0.78,1920
"CATO",9,0.818,1922
"CATO",10,0.851,1926
"CATO",11,0.88,1929
"CATO",12,0.905,1930
"CATO",13,0.928,1935
"CATO",14,0.949,1940
"CATO",15,0.968,1943
"CATO",16,0.985,1946
"CATO",17,1,1948
"FAGR",1,0.306,1887
"FAGR",2,0.482,1902
"FAGR",3,0.596,1920
"FAGR",4,0.677,1921
"FAGR",5,0.736,1928
"FAGR",6,0.782,1930
"FAGR",7,0.818,1932
"FAGR",8,0.848,1933
"FAGR",9,0.873,1936
"FAGR",10,0.893,1940
"FAGR",11,0.911,1940
"FAGR",12,0.926,1942
"FAGR",13,0.94,1944
"FAGR",14,0.951,1944
"FAGR",15,0.962,1946
"FAGR",16,0.971,1948
"FAGR",17,0.979,1948
"FAGR",18,0.987,1950
"FAGR",19,0.994,1950
"FAGR",20,1,1950
"FRAM",1,0.181,1869
"FRAM",2,0.31,1870
"FRAM",3,0.407,1870
"FRAM",4,0.482,1879
"FRAM",5,0.543,1882
"FRAM",6,0.592,1885
"FRAM",7,0.634,1885
"FRAM",8,0.669,1892
"FRAM",9,0.699,1893
"FRAM",10,0.725,1895
"FRAM",11,0.748,1896
"FRAM",12,0.768,1896
"FRAM",13,0.786,1899
"FRAM",14,0.802,1903
"FRAM",15,0.816,1910
"FRAM",16,0.829,1914
"FRAM",17,0.841,1915
"FRAM",18,0.852,1916
"FRAM",19,0.862,1918
"FRAM",20,0.871,1920
"FRAM",21,0.879,1922
"FRAM",22,0.887,1922
"FRAM",23,0.894,1925
"FRAM",24,0.901,1926
"FRAM",25,0.907,1928
"FRAM",26,0.913,1929
"FRAM",27,0.919,1929
"FRAM",28,0.924,1931
"FRAM",29,0.929,1933
"FRAM",30,0.933,1933
"FRAM",31,0.938,1934
