 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000       0.00144         0.00046         0.00088
  0.01163       0.00423         0.00115         0.00205
  0.02326       0.02147         0.00463         0.00864
  0.03488       0.02747         0.00664         0.01238
  0.04651       0.02365         0.00674         0.01247
  0.05814       0.03293         0.00920         0.01650
  0.06977       0.03752         0.00938         0.01654
  0.08140       0.03654         0.00959         0.01618
  0.09302       0.03845         0.01162         0.01912
  0.10465       0.02338         0.00788         0.01264
  0.11628       0.01780         0.00618         0.00948
  0.12791       0.02013         0.00921         0.01337
  0.13953       0.01656         0.00991         0.01371
  0.15116       0.01333         0.01033         0.01360
  0.16279       0.00825         0.00480         0.00624
  0.17442       0.00414         0.00146         0.00180
  0.18605       0.00056         0.00107         0.00130
  0.19767       0.00015         0.00072         0.00080
  0.20930       0.00132         0.00201         0.00213
  0.22093       0.00373         0.00664         0.00672
  0.23256       0.00664         0.00996         0.00982
  0.24419       0.01090         0.01206         0.01155
  0.25581       0.00896         0.00788         0.00724
  0.26744       0.01491         0.01152         0.00996
  0.27907       0.01928         0.01589         0.01369
  0.29070       0.00770         0.00706         0.00597
  0.30233       0.00369         0.00289         0.00236
  0.31395       0.00384         0.00343         0.00265
  0.32558       0.00356         0.00493         0.00369
  0.33721       0.00380         0.00652         0.00469
  0.34884       0.00396         0.00751         0.00536
  0.36047       0.00217         0.00553         0.00389
  0.37209       0.00254         0.00429         0.00294
  0.38372       0.00425         0.00591         0.00398
  0.39535       0.00679         0.00930         0.00617
  0.40698       0.00924         0.01265         0.00822
  0.41860       0.00755         0.01056         0.00681
  0.43023       0.00770         0.00798         0.00504
  0.44186       0.00777         0.00751         0.00478
  0.45349       0.00235         0.00310         0.00196
  0.46512       0.00386         0.00422         0.00264
  0.47674       0.00529         0.00690         0.00420
  0.48837       0.00360         0.00564         0.00341
  0.50000       0.00137         0.00105         0.00059
