"Summary_type","Species","PCP","PDSI","PDSI_prewhiten","PHDI","PHDI_prewhiten","PMDI","PMDI_prewhiten","SP01","TAVG","TMAX","TMIN","ZNDX"
"Sum of all absolute correlations","All",8.74688113657418,11.7026907038393,9.42212631509223,10.9794779311988,9.1775001356483,11.8340043988282,9.11925286151156,9.67159906019775,8.43880806716678,10.3217959500262,5.48300821966013,10.9189367685525
"Sum of all absolute correlations","CACO",0.650821124429775,0.984805186561716,0.631734388648107,1.08925191096526,0.744614286036819,1.10319446127601,0.696291855568557,0.705841797404986,0.753310881028124,0.928763644040849,0.411984686221941,0.853517936559644
"Sum of all absolute correlations","CAGL",0.558755857286552,0.648559177943727,0.589748234287413,0.783221082532355,0.560356232133671,0.843741366170804,0.548664708301167,0.553421999227271,0.620150170129135,0.702674532304636,0.433283364267606,0.644143820289863
"Sum of all absolute correlations","CAOV",0.545193937599885,0.348522056203243,0.534378007539188,0.319744703196696,0.600234348793268,0.395470045978897,0.562750329397277,0.624195940920547,0.746425083683541,0.824988477702669,0.524627924580312,0.703990353642138
"Sum of all absolute correlations","CATO",0.216362232886952,0.174880157974506,0.327372241565877,0.216977669025603,0.324099826751128,0.262990467493703,0.279300498424739,0.256753097123053,0.676081046947572,0.675184411357,0.559639947737635,0.381918191358393
"Sum of all absolute correlations","FAGR",0.908652878431716,1.25663709446794,1.10119228247436,1.05701678648094,0.980081462138416,1.10288877875963,1.00736649800102,1.09279005624398,0.985418231080772,1.13832569420481,0.577717835047231,1.15498783479364
"Sum of all absolute correlations","FRAM",0.597968130839525,0.757539637177895,0.612591025306329,0.735720509452436,0.617859040765672,0.763659426139156,0.540342866146427,0.600602216155735,0.520299290581548,0.591781370574738,0.355018320992159,0.727740962595461
"Sum of all absolute correlations","FRNI",0.196145813866725,0.660558020386235,0.282763622129255,1.02001656480624,0.220651235276736,0.811498039623748,0.208176470980291,0.237183107067535,0.232356361485992,0.25617758469751,0.313206315434027,0.193479432210768
"Sum of all absolute correlations","JUNI",0.982850175775824,0.99924007065828,0.889958745403411,0.786107821404542,0.825053526358688,0.924651810909084,0.888987946934529,1.10339873898453,0.242143987573845,0.534135264818236,0.205922298548586,1.09948144471226
"Sum of all absolute correlations","LITU",0.973969815379773,1.49338168470319,0.942770738703861,1.42175301548199,0.993910111669164,1.55510948391987,1.00824511967573,1.14753232204409,0.753239462013742,1.04679292459472,0.293169412254166,1.2801323981086
"Sum of all absolute correlations","PIST",0.333432093392347,0.335331651991257,0.495213103147791,0.263402995863365,0.332587163908294,0.274004574519683,0.292455278393439,0.379254807772205,0.412726392254805,0.349882216139644,0.456809931686869,0.385765443265791
"Sum of all absolute correlations","QUAL",0.757036839471089,0.974998278043197,0.889602730872719,0.722355775882533,0.838402907804959,0.884410949809084,0.839447069468733,0.765132576810338,0.754321255489297,0.884004038057253,0.464608027091337,0.950048664326186
"Sum of all absolute correlations","QUPR",0.530783104281228,0.652872202279112,0.539654948012733,0.518645931882337,0.577749507992558,0.648903321346469,0.54136868337958,0.515797299474919,0.464207722668124,0.611219557607771,0.225350712513871,0.646417087430586
"Sum of all absolute correlations","QURU",0.705923904952769,1.16352964285896,0.788249141581699,0.959839938149132,0.763852377125344,1.08479656653638,0.843588375805676,0.775549159495111,0.761414809713863,0.973833680563038,0.544220942921549,0.915884506806411
"Sum of all absolute correlations","QUVE",0.78898522798002,1.25183584259004,0.796897105419487,1.08542322607542,0.798048108893586,1.17868510634571,0.862267161034398,0.914145941473458,0.516713372516418,0.804032553363346,0.117448500362843,0.981428692452782
"Count of Significant correlations","All",20,25,24,24,18,27,19,19,19,23,6,23
"Count of Significant correlations","CACO",1,3,1,3,1,4,0,1,1,1,1,2
"Count of Significant correlations","CAGL",1,1,2,1,1,2,1,1,2,1,1,1
"Count of Significant correlations","CAOV",1,0,2,0,1,1,1,1,1,2,1,2
"Count of Significant correlations","CATO",0,0,0,0,0,0,0,0,2,2,1,0
"Count of Significant correlations","FAGR",2,3,3,2,2,2,2,2,3,3,1,2
"Count of Significant correlations","FRAM",2,1,2,1,0,1,2,1,1,2,0,2
"Count of Significant correlations","FRNI",0,0,0,4,0,2,0,0,0,0,0,0
"Count of Significant correlations","JUNI",3,2,3,2,3,2,3,3,0,1,0,3
