"Species","coef","significant","significant2","ci.lower","ci.upper","chg_rad_inc_1SD_clim","variable","month"
"CACO",-0.0470368720027441,FALSE,FALSE,-0.209525882047919,0.112557083064536,-0.00613701045592439,"cld","prev.apr"
"CACO",-0.254331083626275,TRUE,FALSE,-0.435075435740795,-0.056119434026872,-0.0331831699903423,"cld","prev.may"
"CACO",-0.15061714097759,FALSE,FALSE,-0.321442118761659,0.0190909086103408,-0.0196513698650493,"cld","prev.jun"
"CACO",-0.103135398596552,FALSE,FALSE,-0.2866029372936,0.0897177682456653,-0.0134563161327148,"cld","prev.jul"
"CACO",0.235526859939051,TRUE,FALSE,0.0708176442388917,0.392248655684515,0.0307297390441411,"cld","prev.aug"
"CACO",0.12045629306368,FALSE,FALSE,-0.0669002370117504,0.326111606256254,0.0157162136540578,"cld","prev.sep"
"CACO",0.0249063747351986,FALSE,FALSE,-0.176557354759988,0.206105130133788,0.00324959283347259,"cld","prev.oct"
"CACO",0.141426176992198,FALSE,FALSE,-0.0507020942440079,0.316152203750973,0.0184522033457475,"cld","prev.nov"
"CACO",0.102950368179013,FALSE,FALSE,-0.108185232194773,0.289370591750789,0.0134321747823497,"cld","prev.dec"
"CACO",0.044547063316797,FALSE,FALSE,-0.172423100063352,0.243512141944687,0.00581215930642581,"cld","curr.jan"
"CACO",-0.0282608388941617,FALSE,FALSE,-0.243520958471578,0.194484138495913,-0.00368725760030444,"cld","curr.feb"
"CACO",0.159888373399785,FALSE,FALSE,-0.0301338007808876,0.331252559661579,0.0208610091946161,"cld","curr.mar"
"CACO",-0.0664122066025837,FALSE,FALSE,-0.257163064662258,0.118952474010979,-0.00866495557564476,"cld","curr.apr"
"CACO",0.224014675545698,TRUE,FALSE,0.0313462885901466,0.416923936513543,0.029227717481389,"cld","curr.may"
"CACO",0.186568270482654,FALSE,FALSE,-0.0100916893138823,0.3655863082583,0.0243419976274992,"cld","curr.jun"
"CACO",0.119097123678618,FALSE,FALSE,-0.0761954365790133,0.29438539708668,0.0155388796526171,"cld","curr.jul"
"CACO",-0.0879276118893609,FALSE,FALSE,-0.286383604041891,0.0938853261884817,-0.0114721207119808,"cld","curr.aug"
"CACO",0.0714160352966107,FALSE,FALSE,-0.107667797279857,0.252554080472236,0.00931781678234037,"dtr","prev.apr"
"CACO",0.132394729224133,FALSE,FALSE,-0.046310368886668,0.324598468025855,0.0172738492795691,"dtr","prev.may"
"CACO",0.0574263918308547,FALSE,FALSE,-0.134497882783535,0.249946020368365,0.00749255535298787,"dtr","prev.jun"
"CACO",0.0095255534577748,FALSE,FALSE,-0.18743867442443,0.217645171244451,0.00124282118856501,"dtr","prev.jul"
"CACO",-0.286730824599352,TRUE,FALSE,-0.447279125421476,-0.0808981244225855,-0.037410439803467,"dtr","prev.aug"
"CACO",-0.216374670413951,TRUE,FALSE,-0.386452875579824,-0.029100166784899,-0.0282309081830557,"dtr","prev.sep"
"CACO",-0.0615497218172999,FALSE,FALSE,-0.237715391190884,0.120498820567027,-0.00803053583856448,"dtr","prev.oct"
"CACO",-0.17101169786977,FALSE,FALSE,-0.339252415748151,0.0327981341079432,-0.022312295295719,"dtr","prev.nov"
"CACO",-0.24485370559929,TRUE,FALSE,-0.43333767989718,-0.0326898770191713,-0.0319466343626551,"dtr","prev.dec"
"CACO",0.0119892415551229,FALSE,FALSE,-0.171626179014448,0.1842475574179,0.0015642643239138,"dtr","curr.jan"
"CACO",-0.0696713531905067,FALSE,FALSE,-0.267198994917091,0.126585742413042,-0.00909018403654895,"dtr","curr.feb"
"CACO",-0.289714449827083,TRUE,FALSE,-0.471461148699682,-0.0827358673654728,-0.0377997203495475,"dtr","curr.mar"
"CACO",0.161036669417785,FALSE,FALSE,-0.0491946640569321,0.337158610767508,0.0210108300557599,"dtr","curr.apr"
"CACO",-0.106675978445678,FALSE,FALSE,-0.310582511433318,0.0796157980607722,-0.0139182638479637,"dtr","curr.may"
"CACO",-0.121406835927139,FALSE,FALSE,-0.343645858007839,0.0973140156381478,-0.0158402331996498,"dtr","curr.jun"
"CACO",-0.132077107053534,FALSE,FALSE,-0.313956694852345,0.0772296286379358,-0.0172324083737646,"dtr","curr.jul"
"CACO",-0.0744305683213172,FALSE,FALSE,-0.257765011881933,0.102529649104524,-0.00971112994081897,"dtr","curr.aug"
"CACO",0.101183366869957,FALSE,FALSE,-0.076859268022697,0.283991091787867,0.0132016299980648,"frs","prev.oct"
"CACO",-0.0231349096305785,FALSE,FALSE,-0.235569794043558,0.188666749880353,-0.00301846564736369,"frs","prev.nov"
"CACO",-0.168802922450151,FALSE,FALSE,-0.35410107597847,0.0330683585815525,-0.0220241112123002,"frs","prev.dec"
"CACO",-0.0160117357075734,FALSE,FALSE,-0.183158975616813,0.152343272148029,-0.00208908852291758,"frs","curr.jan"
"CACO",0.0325544853089068,FALSE,FALSE,-0.139432574812012,0.198880058621452,0.00424745966773349,"frs","curr.feb"
"CACO",-0.00461214636957718,FALSE,FALSE,-0.182692766377612,0.177313866744599,-0.000601757499790751,"frs","curr.mar"
"CACO",0.0865378017555197,FALSE,FALSE,-0.134502542592726,0.294644608229603,0.0112907889405433,"frs","curr.apr"
"CACO",0.057186389838883,FALSE,FALSE,-0.168646082432421,0.248631519149262,0.00746124173302422,"frs","curr.may"
"CACO",-0.0141264483354339,FALSE,FALSE,-0.197151741209299,0.176611290470602,-0.00184311067994861,"pet","prev.apr"
"CACO",0.00160114566718087,FALSE,FALSE,-0.210146426572019,0.200812877817911,0.00020890521164702,"pet","prev.may"
