"Species","coef","significant","significant2","ci.lower","ci.upper","chg_rad_inc_1SD_clim","variable","month"
"CACO",0.000980757242806244,FALSE,FALSE,-0.200701425588594,0.183403527897093,0.000123493889623388,"Tmin","prev.apr"
"CACO",-0.156363672016667,FALSE,FALSE,-0.348936981244789,0.0465026769903657,-0.019688825338554,"Tmin","prev.may"
"CACO",0.00635932079370355,FALSE,FALSE,-0.265591182540975,0.284611110101064,0.000800745817517752,"Tmin","prev.jun"
"CACO",-0.0062703879409145,FALSE,FALSE,-0.250774268920599,0.201799151426595,-0.000789547670385237,"Tmin","prev.jul"
"CACO",-0.0212902153786417,FALSE,FALSE,-0.267350846963012,0.22652468913427,-0.00268079744229587,"Tmin","prev.aug"
"CACO",-0.0542347749971188,FALSE,FALSE,-0.286829749316095,0.179749232953227,-0.00682907352086377,"Tmin","prev.sep"
"CACO",-0.076834239552307,FALSE,FALSE,-0.265102655815722,0.113044180079382,-0.00967472753137148,"Tmin","prev.oct"
"CACO",0.0575983847687505,FALSE,FALSE,-0.180991601229833,0.278307660999141,0.00725260876051745,"Tmin","prev.nov"
"CACO",0.0954234128552577,FALSE,FALSE,-0.117229398409331,0.289870606684387,0.0120154181894349,"Tmin","prev.dec"
"CACO",0.0345648717212116,FALSE,FALSE,-0.196564117690465,0.236336183058752,0.00435230071915885,"Tmin","curr.jan"
"CACO",-0.0516064036899984,FALSE,FALSE,-0.245509464792099,0.132354145962356,-0.00649811721289701,"Tmin","curr.feb"
"CACO",-0.0658530291487441,FALSE,FALSE,-0.255525963425633,0.141968607068282,-0.00829200780591878,"Tmin","curr.mar"
"CACO",-0.085717874224156,FALSE,FALSE,-0.286470928283116,0.137358405664006,-0.0107933270703163,"Tmin","curr.apr"
"CACO",-0.154965715122368,FALSE,FALSE,-0.353632977876066,0.0405153507305897,-0.0195127989715105,"Tmin","curr.may"
"CACO",-0.229474623740636,TRUE,FALSE,-0.425162953909073,-0.00895782213118311,-0.0288947280924574,"Tmin","curr.jun"
"CACO",-0.0690083615783166,FALSE,FALSE,-0.292514507885588,0.145051015732837,-0.00868931741300134,"Tmin","curr.jul"
"CACO",0.0365256478399081,FALSE,FALSE,-0.150258710802273,0.232573716500161,0.00459919552554911,"Tmin","curr.aug"
"CACO",0.0448836697220278,FALSE,FALSE,-0.167391887709687,0.225758441963068,0.0056516115432244,"Tmean","prev.apr"
"CACO",-0.114618052116556,FALSE,FALSE,-0.343059939825749,0.122916286748894,-0.0144323472304207,"Tmean","prev.may"
"CACO",0.0182083648647752,FALSE,FALSE,-0.234086034346688,0.285837954214935,0.00229274044859351,"Tmean","prev.jun"
"CACO",0.00187552336762756,FALSE,FALSE,-0.20744967549259,0.180928663251737,0.0002361600461753,"Tmean","prev.jul"
"CACO",-0.162846885714431,FALSE,FALSE,-0.383507673772711,0.0821646186072862,-0.0205051713636985,"Tmean","prev.aug"
"CACO",-0.15526631841331,FALSE,FALSE,-0.334095006952179,0.059912745199193,-0.0195506499992793,"Tmean","prev.sep"
"CACO",-0.0864649101405368,FALSE,FALSE,-0.284832428648481,0.111325768119226,-0.0108873915003054,"Tmean","prev.oct"
"CACO",-0.0216218330707399,FALSE,FALSE,-0.265924114188861,0.215544122416337,-0.00272255370661666,"Tmean","prev.nov"
"CACO",0.00677881194908218,FALSE,FALSE,-0.185774701311411,0.227332358522116,0.000853566833952041,"Tmean","prev.dec"
"CACO",0.019028973329466,FALSE,FALSE,-0.197062546596298,0.207163450612612,0.00239606890413729,"Tmean","curr.jan"
"CACO",-0.0709269867915788,FALSE,FALSE,-0.245276484143915,0.115927067725024,-0.00893090470899448,"Tmean","curr.feb"
"CACO",-0.13043418538197,FALSE,FALSE,-0.332176051327541,0.0655154699360328,-0.016423865345708,"Tmean","curr.mar"
"CACO",0.0377273920737693,FALSE,FALSE,-0.178311039828884,0.287792427307349,0.00475051540705959,"Tmean","curr.apr"
"CACO",-0.158999287498952,FALSE,FALSE,-0.341075038142806,0.0481459201075442,-0.0200206938104378,"Tmean","curr.may"
"CACO",-0.281381146359001,TRUE,FALSE,-0.454408727160018,-0.0934056209524122,-0.0354306353437002,"Tmean","curr.jun"
"CACO",-0.163442934005424,FALSE,FALSE,-0.39546711530486,0.108523629843313,-0.0205802239033539,"Tmean","curr.jul"
"CACO",-0.0421430941355552,FALSE,FALSE,-0.233891144682824,0.132890701080967,-0.00530652682275677,"Tmean","curr.aug"
"CACO",0.0701733602385658,FALSE,FALSE,-0.12858579412883,0.254406887111358,0.00883601040661978,"Tmax","prev.apr"
"CACO",-0.0626046730562264,FALSE,FALSE,-0.290200124108272,0.163484051332751,-0.00788298494966231,"Tmax","prev.may"
"CACO",0.0290376685795442,FALSE,FALSE,-0.201258541944545,0.256345517364009,0.00365633255811825,"Tmax","prev.jun"
"CACO",0.00472159670899574,FALSE,FALSE,-0.179930749014715,0.200531684786265,0.000594528714525196,"Tmax","prev.jul"
"CACO",-0.239908975587029,TRUE,FALSE,-0.435035962115882,-0.0248410352372717,-0.0302085890959438,"Tmax","prev.aug"
"CACO",-0.192406907399604,TRUE,FALSE,-0.391770631362,-0.0243505542123888,-0.0242272769938425,"Tmax","prev.sep"
"CACO",-0.085499088856222,FALSE,FALSE,-0.296532533429409,0.153062015268502,-0.010765778299938,"Tmax","prev.oct"
"CACO",-0.0711197255871719,FALSE,FALSE,-0.295633281687232,0.144646345222844,-0.00895517377631334,"Tmax","prev.nov"
"CACO",-0.0513179483436514,FALSE,FALSE,-0.24832018614619,0.162616164407088,-0.00646179581637984,"Tmax","prev.dec"
