"Summary_type","Species","cld","deficit","dtr","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet"
"Sum of all absolute correlations","All",28.9204169844126,26.9645269900823,27.9752138723663,8.53156149248597,30.0401485497101,29.9058411892186,25.2315418409739,18.3969566368441,22.1437577366067,25.2587825368069,16.5048549933873,26.1788702262669
"Sum of all absolute correlations","CACO",2.16311483962794,2.20087738711896,2.25694158977549,0.481684785267731,2.46582955519364,2.47011286188792,2.0501117338872,1.31221610651414,1.67749147267062,1.91468385869764,1.12224074004258,2.17016409510085
"Sum of all absolute correlations","CAGL",2.16636112040621,1.60310493702553,1.55522630775287,0.615195514912813,1.65859558498052,1.65846984375122,1.51724630769539,1.28360217129495,1.40462576445683,1.46898062421442,1.03092821252452,1.50238091955845
"Sum of all absolute correlations","CAOV",1.90095060982242,1.56743788670818,1.54899446516306,0.712434385782524,1.96086551499352,1.9346815692681,1.43700423660657,1.53859244452565,1.56009384286213,1.56156792372835,1.06096699345961,1.37913982331436
"Sum of all absolute correlations","CATO",1.46087677838439,1.46591716075807,1.29203242868344,0.792683610122739,2.1871279510439,2.14679993708591,1.43373292793008,1.71399384479477,1.87711769321038,1.82294354989687,1.11800536812315,1.47483140603309
"Sum of all absolute correlations","FAGR",2.17350456696854,2.03345638979126,2.84518061801356,0.849025736134151,2.56562233073728,2.52694713170034,1.84699083447574,1.6819626511611,2.13298120529773,2.4703808026147,1.51938291695817,2.00249094385503
"Sum of all absolute correlations","FRAM",2.04622639701458,1.82381237854743,1.41147201926018,0.658982634050547,1.90795578484313,1.96300968486641,1.68095518499494,1.33273251486475,1.55812619964657,1.63374357554235,1.33141322924035,1.77426107252061
"Sum of all absolute correlations","FRNI",1.96191373997163,1.77949862114655,1.97594428088067,0.43692828561118,1.63873443438261,1.65376958106797,1.7122565444012,1.41367545126545,1.41416386582804,1.4198174015809,1.29497096741839,1.60094556490598
"Sum of all absolute correlations","JUNI",2.33095465426454,1.82262000939517,1.69121365895839,0.543590053704984,1.89975577868837,1.90707236423276,1.7280956194564,1.12109472778127,1.27699389477077,1.45646041460242,0.878789694772293,1.82067243846742
"Sum of all absolute correlations","LITU",2.27434126162988,2.1755646157478,2.73364924468218,0.634329499735341,2.05524430450156,2.07774396231627,2.10456809961394,1.0843886773827,1.23366386531481,1.75758548696379,1.0566506792192,2.22230733824486
"Sum of all absolute correlations","PIST",1.5092978683665,1.71958933429306,1.6610617569203,0.680818722015036,1.44812765275914,1.46886228737368,1.75246056664608,1.29179167006846,1.43036602818617,1.50229833063786,1.87985593256426,1.90170943273604
"Sum of all absolute correlations","QUAL",2.08156870848614,2.30526280899772,2.18647389181728,0.496452550277766,2.28648755557944,2.27377701504429,2.12415908012125,1.22836985732001,1.65988681383886,2.04139379146622,1.02041206214678,2.20269152703855
"Sum of all absolute correlations","QUPR",2.03524076342922,2.13736982138912,2.09151716161529,0.606174303922266,2.67876011901834,2.62371304260989,1.90759460485629,1.17229646595438,1.69925164888635,2.01335555114106,1.13707427423233,2.02232250475364
"Sum of all absolute correlations","QURU",2.56488057492346,2.08453435159954,2.22149385333404,0.546368038865427,2.59877517419907,2.56374914738165,1.89377844075555,1.32591029741318,1.84447700286605,2.19839706398616,1.14428008144233,1.91249845929058
"Sum of all absolute correlations","QUVE",2.25118510111711,2.24548128756391,2.50401259550954,0.476893372083465,2.68826680878959,2.63713276063215,2.04258765953333,0.896329756503249,1.37451843877135,1.99717416173415,0.909883841243327,2.1924547004474
"Count of Significant correlations","All",43,35,39,2,47,48,34,11,21,33,6,35
"Count of Significant correlations","CACO",3,4,4,0,7,6,3,2,1,2,0,4
"Count of Significant correlations","CAGL",3,1,1,0,1,1,2,1,1,1,0,2
"Count of Significant correlations","CAOV",2,1,1,0,3,2,1,1,1,3,1,1
"Count of Significant correlations","CATO",1,2,1,0,4,4,2,2,2,2,2,1
"Count of Significant correlations","FAGR",2,3,5,1,5,5,3,1,4,6,1,3
"Count of Significant correlations","FRAM",3,2,3,1,4,4,2,1,2,1,2,3
"Count of Significant correlations","FRNI",1,3,2,0,1,1,3,1,1,1,0,2
"Count of Significant correlations","JUNI",3,2,2,0,3,3,2,1,1,2,0,2
"Count of Significant correlations","LITU",5,3,7,0,4,6,3,0,1,4,0,3
"Count of Significant correlations","PIST",2,3,1,0,0,0,3,1,1,0,0,2
"Count of Significant correlations","QUAL",4,2,2,0,3,3,2,0,1,3,0,2
"Count of Significant correlations","QUPR",4,4,2,0,3,4,3,0,2,3,0,4
"Count of Significant correlations","QURU",5,3,3,0,5,4,2,0,2,3,0,2
"Count of Significant correlations","QUVE",5,2,5,0,4,5,3,0,1,2,0,4
"Sum of absolute significant correlations","All",11.5369955554644,9.71607285601904,9.79901130325862,0.457413650303868,12.3525036904745,12.5361425014183,9.21243314029465,2.66314457353565,5.11705800679907,7.99377396337917,1.32884384999463,9.5027784271654
"Sum of absolute significant correlations","CACO",0.727210076707621,1.05842220825248,1.01768953798372,NA,1.7959790066217,1.60614473145308,0.745499913169221,0.443248967738724,0.302178406151124,0.527938211755546,NA,1.02714740674707
"Sum of absolute significant correlations","CAGL",0.778394917560999,0.233614995154305,0.227430456411596,NA,0.33608225493872,0.342016015693767,0.472165380790971,0.209689353065001,0.235374077384838,0.235591823224248,NA,0.470424562364398
"Sum of absolute significant correlations","CAOV",0.601634113336965,0.260097291362427,0.234430451128017,NA,0.800390468246763,0.594357500203961,0.265492224453848,0.268335966502185,0.270240736453801,0.688116090186134,0.210465119071607,0.278106197094935
"Sum of absolute significant correlations","CATO",0.202144461383675,0.477869152437811,0.241894648225905,NA,0.950617631925835,0.938917652647693,0.469714068540195,0.514908145132384,0.586575467361752,0.530653128801075,0.41474620829444,0.269801839327584
"Sum of absolute significant correlations","FAGR",0.567845604223465,1.07125514107392,1.31816492009403,0.179867112616662,1.38118383262529,1.36260192597231,1.03170936528371,0.207892795583848,0.938595729340482,1.54036805593588,0.242056219441686,1.016920331575
"Sum of absolute significant correlations","FRAM",0.865990571091449,0.569819437270395,0.685139697472302,0.277546537687206,0.930177714320391,0.936174192020217,0.541905753591963,0.228604061409376,0.462665090025085,0.30420978017713,0.461576303186896,0.77122066742256
"Sum of absolute significant correlations","FRNI",0.262938861782707,0.806732777159277,0.450284501979305,NA,0.25692603923344,0.258737728368176,0.793356677459116,0.29197972032047,0.277680841299604,0.214407062271963,NA,0.50486929954315
"Sum of absolute significant correlations","JUNI",0.988281606877608,0.626355232332731,0.544993571663471,NA,0.69133928998735,0.690485287667294,0.615842277841464,0.227789779527855,0.266106948338407,0.469971279545331,NA,0.631528387900532
"Sum of absolute significant correlations","LITU",1.17511130684078,0.873619354062313,1.63779887548517,NA,0.975266056982273,1.37044354900469,0.801329590986269,NA,0.207653043149172,0.888825542795669,NA,0.894293843803262
"Sum of absolute significant correlations","PIST",0.516327506957974,0.736401637600031,0.252905655052526,NA,NA,NA,0.800331706175517,0.27069578425581,0.267095891574685,NA,NA,0.516196017968256
"Sum of absolute significant correlations","QUAL",1.1308083127143,0.622203244535578,0.552717601968114,NA,0.873262853910821,0.861956025090588,0.617449865507956,NA,0.228545672617937,0.684922970657588,NA,0.609384919306621
"Sum of absolute significant correlations","QUPR",1.20142353440111,1.05696409639658,0.656238406281998,NA,0.974879011086876,1.19666032525176,0.813816444056396,NA,0.385289616417022,0.657221667929945,NA,1.0562637312185
"Sum of absolute significant correlations","QURU",1.20054258237786,0.799620658675994,0.733244723605198,NA,1.34054134509565,1.11325977550836,0.595855633826933,NA,0.484810817419882,0.732278301094292,NA,0.559387151129534
"Sum of absolute significant correlations","QUVE",1.3183420992079,0.523097629705196,1.24607825590726,NA,1.04585818549936,1.26438779253637,0.647964238611092,NA,0.204245669265277,0.519270049004364,NA,0.897234071763991
