year	corrs	rbar	sdev	serr	eps 	cores
  1840.	     6.	  0.1283	  0.2446	  0.0999	  0.3997	   4.53
  1860.	    10.	  0.1917	  0.2925	  0.0925	  0.6638	   8.32
  1880.	    15.	  0.4678	  0.2035	  0.0525	  0.9466	  20.17
  1900.	   210.	  0.4072	  0.2664	  0.0184	  0.9609	  35.80
  1920.	   741.	  0.2822	  0.2889	  0.0106	  0.9517	  50.13
  1940.	  1176.	  0.1804	  0.2811	  0.0082	  0.9297	  60.08
  1960.	  1891.	  0.2280	  0.2815	  0.0065	  0.9499	  64.18
  1980.	  2080.	  0.1492	  0.2619	  0.0057	  0.9202	  65.78
