"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",5,0,0,0,6,2,6,4,7,3,8,8,2,8,8,8,8
"dtr",3,7,8,8,3,6,0,2,0,5,1,1,6,1,0,0,0
"pet",2,7,8,7,4,8,2,4,7,6,0,1,7,0,0,0,0
"PETminusPRE",2,8,8,8,2,6,6,0,3,6,1,3,5,0,0,0,1
"pre",6,0,0,0,7,3,2,8,5,1,7,2,4,8,8,7,6
"tmn",0,6,6,1,8,5,8,4,8,2,3,4,7,1,0,6,2
"tmp",0,6,7,4,7,5,5,4,8,3,1,2,7,1,0,2,0
"tmx",1,6,8,6,6,6,2,1,8,4,1,1,7,1,0,0,0
"vap",0,2,4,2,8,4,6,2,7,1,3,5,5,1,0,7,8
"wet",6,0,0,0,6,2,3,8,6,1,8,2,3,8,8,8,7
"PDSI_prewhiten",5,0,1,3,5,1,3,8,5,5,7,5,2,8,8,8,3
