"Summary_type","Species","cld","deficit","dtr","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet"
"Sum of all absolute correlations","All",35.7841701311367,35.8215409827187,33.3243757649554,15.9466903298203,32.6004331974245,32.474172455361,36.5451552338346,32.1447594521983,33.0621613246604,33.4552865735964,30.3475711297729,37.8651203731879
"Sum of all absolute correlations","CACO",2.18219365749279,2.99326835653679,2.58402776997632,1.20095692064674,3.70864702517523,3.70373853819482,2.81006758094214,3.34732355014631,3.6327191339987,3.44589194171426,1.52682131902146,3.07657688798927
"Sum of all absolute correlations","CAGL",2.64233665257348,2.00448349856917,2.38704394210086,1.33725429470198,2.14175917330154,2.12258109159414,1.93922742758811,2.30404710601298,1.93342838602583,1.9357849123364,2.10765471670672,2.01279716997741
"Sum of all absolute correlations","CAOV",2.66087058516228,1.9991948596095,2.52258759751021,0.940870112922868,2.3008181128074,2.26097567145651,2.02522287304201,1.52677207801707,2.06084279739615,2.48374451025426,1.85393780699952,2.20686434671906
"Sum of all absolute correlations","CATO",2.60078028629385,2.87965634329499,2.06469961019323,1.41767795921583,2.42997491604556,2.34605500580013,3.17115464484161,3.09506191319276,3.16798391346988,2.95675519238409,2.04529079986386,2.77019491151846
"Sum of all absolute correlations","FAGR",2.28264622365991,2.29747279760935,2.30782096992967,1.04871460129505,2.25829970991389,2.12598153961023,2.28239230786459,2.1069299695427,2.18373313935356,2.459883261459,2.38575980109199,2.32370440594693
"Sum of all absolute correlations","FRAM",3.49789466654101,2.35638386959368,2.12402943254289,0.837747636151882,1.89049105838585,1.86819165112349,2.45007003554415,2.22807401462754,2.20535981800021,1.96963697379027,1.95891347638015,2.66631263531529
"Sum of all absolute correlations","FRNI",2.40802909747591,2.49842624212895,2.69378107268608,1.13499725239431,1.71777702953969,1.71743422995299,2.76757040341006,2.15762539003942,2.30737538078506,2.68537665747589,2.79819452841577,2.70636723419689
"Sum of all absolute correlations","JUNI",2.97998598490279,2.32005130158493,1.97828294046005,1.06720285228795,2.57454466665054,2.55235428044695,2.22763233674791,2.19523766531282,2.11925370705903,1.90994035894545,2.73405244230159,2.83672492758242
"Sum of all absolute correlations","LITU",2.43141563725992,2.33625367479208,2.11660845859961,0.962843901585435,2.06135021009214,2.07334891362569,2.27848629898614,1.55683447168863,1.74190808901794,1.99456451985629,1.35119393390115,2.76320298933148
"Sum of all absolute correlations","PIST",2.10355966908592,2.98150429457794,2.53867674364905,1.57281061974136,2.27264454653281,2.24755682592596,2.97642271663339,2.84413781487462,2.94036601775566,2.87461911648604,2.66457910134746,3.09022323164731
"Sum of all absolute correlations","QUAL",2.45844919091518,2.85748178754599,2.17933356910572,1.136292691664,2.15671561115174,2.18742526036236,2.97423910059077,2.5590621459668,2.48821952911882,2.23541538149144,2.66702485759011,3.14554406915273
"Sum of all absolute correlations","QUPR",2.50301239003411,2.77271906727335,2.41641615345527,0.944497998862315,2.25663211783857,2.27152827292271,2.82803454342868,2.16767906145973,2.15467511372329,2.01823053307124,1.94134843380292,2.95572937300189
"Sum of all absolute correlations","QURU",2.71998595356548,2.96531821378297,2.60985256923634,0.950146687522873,2.32631488362517,2.40709813747266,3.07787362499925,1.72940407243485,1.8923486289152,2.10106387800227,1.88163107740344,2.78972376227095
"Sum of all absolute correlations","QUVE",2.31301013617408,2.55932667581902,2.80121493551014,1.39467680082768,2.50446413636435,2.58990303687236,2.73676133921575,2.32657019888202,2.23394767004107,2.38437933632954,2.43116883494675,2.5211544285378
