"variable","curr.apr","curr.aug","curr.feb","curr.jan","curr.jul","curr.jun","curr.mar","curr.may","prev.apr","prev.aug","prev.dec","prev.jul","prev.jun","prev.may","prev.nov","prev.oct","prev.sep"
"cld",2,7,6,3,5,10,10,9,8,10,4,7,6,1,11,0,6
"deficit",5,3,3,13,9,4,7,3,8,9,12,2,6,10,4,11,3
"dtr",13,3,3,6,9,4,5,3,5,8,5,1,2,10,2,11,5
"pet",10,1,6,10,2,4,5,5,7,5,6,4,5,11,2,9,2
"pre",6,11,10,1,5,10,7,12,6,5,2,12,8,5,10,3,11
"tmn",7,8,7,9,2,5,6,3,10,1,2,5,7,5,8,1,3
"tmp",7,4,7,9,2,6,4,2,9,4,2,3,4,7,3,2,2
"tmx",9,3,4,9,3,4,5,4,7,4,2,1,3,9,2,4,1
"vap",4,11,8,6,5,8,9,2,9,3,3,4,2,4,5,0,10
"wet",8,11,11,0,5,10,7,13,7,7,1,12,7,3,9,3,10
"PDSI_prewhiten",10,12,12,4,7,9,12,10,5,6,5,13,10,7,2,3,9
