"season","Summary_type","Species","PCP","PDSI","PDSI_prewhiten","PHDI","PHDI_prewhiten","PMDI","PMDI_prewhiten","SP01","TAVG","TMAX","TMIN","ZNDX"
"all_seasons","Sum of all absolute correlations","All",35.8264363983944,36.3866603190717,34.6343966830371,39.5581518464947,32.9113802779082,39.5271396804845,35.4281816553096,36.4477461734187,34.7532924788313,35.9221483343608,33.1554811050685,34.7470962038943
"all_seasons","Count of Significant correlations","All",21,10,15,16,15,15,21,18,16,16,15,19
"all_seasons","Sum of absolute significant correlations","All",8.02692990897414,3.77042468437755,5.56606896421251,5.91438870941872,5.45158239378052,5.78602712675273,8.30891009918513,7.05632134287687,6.48192262118734,6.1849338990545,6.21631727413793,7.2028168196613
"curr_growing_season_only","Sum of all absolute correlations","All",8.67324374193625,8.48194773956769,7.49635358586739,8.78480546361101,7.76492170609236,9.86220803286621,7.89313655795217,9.35823318027404,9.02449386974624,9.45836105745772,8.50105990629708,9.2766683601522
"curr_growing_season_only","Count of Significant correlations","All",7,1,6,3,6,2,6,8,4,3,4,6
"curr_growing_season_only","Sum of absolute significant correlations","All",2.52248685574454,0.341575439000672,2.04782961901638,1.10216621381647,1.99355246000288,0.644103790313812,2.13716457992013,2.8736418966242,1.64811924520762,1.22007012989232,1.91648875360684,2.281172720986
