"Species","coef","significant","significant2","ci.lower","ci.upper","variable","month"
"CACO",-0.0073064505917267,FALSE,FALSE,-0.365971235018463,0.305784970309605,"cld","prev.apr"
"CACO",-0.486387053706058,TRUE,FALSE,-0.742683382472929,-0.135623945163171,"cld","prev.may"
"CACO",-0.181800570415999,FALSE,FALSE,-0.44587113998036,0.0729794155988136,"cld","prev.jun"
"CACO",0.0977752492512971,FALSE,FALSE,-0.330780763382841,0.481348681886612,"cld","prev.jul"
"CACO",0.00464886077484447,FALSE,FALSE,-0.326802066515489,0.282323208251082,"cld","prev.aug"
"CACO",0.0583628616656395,FALSE,FALSE,-0.242774672545334,0.375590747968698,"cld","prev.sep"
"CACO",-0.372491650714284,TRUE,FALSE,-0.633816485441618,-0.0172571187496167,"cld","prev.oct"
"CACO",0.0699618174092833,FALSE,FALSE,-0.353190590660946,0.45316549765838,"cld","prev.nov"
"CACO",-0.110928045262625,FALSE,FALSE,-0.464544857407517,0.275080729423375,"cld","prev.dec"
"CACO",-0.0472518230293864,FALSE,FALSE,-0.501822927129633,0.368165821294027,"cld","curr.jan"
"CACO",-0.073777239886073,FALSE,FALSE,-0.443340483972296,0.31007094174346,"cld","curr.feb"
"CACO",0.0695743954709431,FALSE,FALSE,-0.399484237823663,0.411778839923849,"cld","curr.mar"
"CACO",-0.180027352700971,FALSE,FALSE,-0.546189471373849,0.199300429206995,"cld","curr.apr"
"CACO",0.095450532268806,FALSE,FALSE,-0.280834353528416,0.455403241519612,"cld","curr.may"
"CACO",-0.0402563419408241,FALSE,FALSE,-0.354631722136817,0.303712874674786,"cld","curr.jun"
"CACO",-0.0890825638027329,FALSE,FALSE,-0.480392187472017,0.243755827304475,"cld","curr.jul"
"CACO",-0.126862466267308,FALSE,FALSE,-0.492443584482377,0.194390305123878,"cld","curr.aug"
"CACO",-0.0258803858574327,FALSE,FALSE,-0.299556922739846,0.273281620447241,"dtr","prev.apr"
"CACO",-0.0906417000325719,FALSE,FALSE,-0.37298540489297,0.257455219849864,"dtr","prev.may"
"CACO",-0.232478564896276,FALSE,FALSE,-0.574939938143641,0.178667040332666,"dtr","prev.jun"
"CACO",-0.256113585944211,FALSE,FALSE,-0.54061830702566,0.138959668936832,"dtr","prev.jul"
"CACO",-0.120294877028773,FALSE,FALSE,-0.43048035606235,0.244794479610036,"dtr","prev.aug"
"CACO",-0.242205322704113,FALSE,FALSE,-0.495173275972184,0.0759976600429913,"dtr","prev.sep"
"CACO",0.0952207199788095,FALSE,FALSE,-0.252947017149211,0.429544999028613,"dtr","prev.oct"
"CACO",-0.30498756011357,FALSE,FALSE,-0.605747311919176,0.0909034672878537,"dtr","prev.nov"
"CACO",-0.155968621214624,FALSE,FALSE,-0.520493465223054,0.252737753739023,"dtr","prev.dec"
"CACO",0.00330599823573954,FALSE,FALSE,-0.285900613053084,0.290713721238957,"dtr","curr.jan"
"CACO",-0.200706953748228,FALSE,FALSE,-0.481069497518843,0.0343553809388377,"dtr","curr.feb"
"CACO",-0.184778838646902,FALSE,FALSE,-0.512007462496756,0.325291654444544,"dtr","curr.mar"
"CACO",0.336669440182423,TRUE,FALSE,0.0862478103326355,0.547125253528441,"dtr","curr.apr"
"CACO",-0.0485544186053741,FALSE,FALSE,-0.408462860688932,0.300763422488108,"dtr","curr.may"
"CACO",0.0282594011720162,FALSE,FALSE,-0.328368139758865,0.315749739347721,"dtr","curr.jun"
"CACO",0.0814032473135461,FALSE,FALSE,-0.290429375418035,0.424950929554206,"dtr","curr.jul"
"CACO",-0.13708258820355,FALSE,FALSE,-0.510158157692025,0.29962884851058,"dtr","curr.aug"
"CACO",0.367392161194767,TRUE,FALSE,0.052125600232961,0.614038479844233,"frs","prev.oct"
"CACO",0.0936683848421121,FALSE,FALSE,-0.225112424624935,0.415883525335651,"frs","prev.nov"
"CACO",0.163675432696254,FALSE,FALSE,-0.164971121702432,0.459104575509996,"frs","prev.dec"
"CACO",0.0131766595536449,FALSE,FALSE,-0.325752641366646,0.429591952133724,"frs","curr.jan"
"CACO",-0.158280762484615,FALSE,FALSE,-0.468001038974587,0.168178496882036,"frs","curr.feb"
"CACO",0.0878953224989705,FALSE,FALSE,-0.296288024847431,0.477170775076553,"frs","curr.mar"
"CACO",0.321061403389728,FALSE,FALSE,-0.0469240424974839,0.582570872490081,"frs","curr.apr"
"CACO",0.0483088058695345,FALSE,FALSE,-0.258529005868761,0.317136979652912,"frs","curr.may"
"CACO",-0.188746699869567,FALSE,FALSE,-0.467584945190466,0.155452382852572,"pet","prev.apr"
"CACO",-0.16720075626388,FALSE,FALSE,-0.38450496169678,0.0537623379054479,"pet","prev.may"
"CACO",-0.212258942707186,FALSE,FALSE,-0.521811508263695,0.133947507781827,"pet","prev.jun"
"CACO",-0.36732539895767,TRUE,FALSE,-0.570699570955657,-0.0672671161947953,"pet","prev.jul"
"CACO",-0.369200095948032,TRUE,FALSE,-0.642648356791076,-0.0216599216517127,"pet","prev.aug"
"CACO",-0.521153867027467,TRUE,FALSE,-0.776295428281114,-0.16706639059252,"pet","prev.sep"
"CACO",-0.181737180032267,FALSE,FALSE,-0.373000512568471,0.0279787589478828,"pet","prev.oct"
"CACO",-0.268421299375365,FALSE,FALSE,-0.645242889900238,0.230170929988096,"pet","prev.nov"
"CACO",-0.256582627630164,FALSE,FALSE,-0.523777386692398,0.0760499518829544,"pet","prev.dec"
"CACO",-0.0895860898841619,FALSE,FALSE,-0.439306624486038,0.184442718206866,"pet","curr.jan"
