"Summary_type","Species","cld","deficit","dtr","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet"
"Sum of all absolute correlations","All",8.79023849730974,9.73840809825112,7.98250987599794,1.28417588064252,10.721548248532,10.682115741776,8.44509149074801,5.44968659995417,7.95080909461925,9.41338046476243,5.04733152607584,9.17653076829641
"Sum of all absolute correlations","CACO",0.607305700475873,0.796906061186515,0.457912892973089,0.00430398345541591,0.847521675380067,0.845359203424125,0.714642020842421,0.467115614803185,0.686115721894419,0.729066027398516,0.27007818284579,0.797663455905585
"Sum of all absolute correlations","CAGL",0.434927662493454,0.58617872688943,0.387625609078005,0.0208840335661722,0.548731121686326,0.564408849094183,0.534354274494054,0.398468728937766,0.384681075895377,0.432608554813585,0.320174231359841,0.475541495822311
"Sum of all absolute correlations","CAOV",0.578490645227154,0.6517082676838,0.583815792808159,0.0900692630537062,0.83023477692763,0.815161396019869,0.545241312898407,0.454783037422793,0.567048412175166,0.704727935475322,0.355025000250977,0.561066685526987
"Sum of all absolute correlations","CATO",0.247484581533878,0.32244071456854,0.233262999343041,0.164490128327883,0.602179236349009,0.58970606064479,0.19057542052548,0.744780313880983,0.835749558060158,0.752751976087997,0.380868781141229,0.283529476258515
"Sum of all absolute correlations","FAGR",0.843407130268086,1.05064614024038,0.739404878163316,0.178387630466178,0.997620641702427,0.982289598454412,0.954606980044444,0.515165731559046,0.894375788152164,1.05067768415056,0.551500970012368,0.949882555826906
"Sum of all absolute correlations","FRAM",0.649368398050467,0.599222296654355,0.497334114159412,0.0560602131274669,0.771333358061389,0.790784999991419,0.481711701603814,0.53002789440221,0.673809862277129,0.739009135634793,0.53518658680853,0.559614065906669
"Sum of all absolute correlations","FRNI",0.408900301082279,0.289466061140372,0.347606259090179,0.122185658857429,0.287764147153438,0.292124282671457,0.255614940769601,0.356914155212529,0.2317822034708,0.200684454361639,0.357958364539552,0.263630395623651
"Sum of all absolute correlations","JUNI",0.839008291400715,0.979760547117327,0.61861331136257,0.0882730497390967,0.684516789962125,0.674951499607694,0.951651130409707,0.0876129879057368,0.271448990624191,0.490197565481471,0.222497887712922,1.02210275952641
"Sum of all absolute correlations","LITU",0.737210964890506,1.07006915567229,0.891123952294758,0.101138456318531,0.96214679754121,0.958186424009956,0.975144975731601,0.22883415016106,0.625668610003218,0.856378010195042,0.315685176521706,1.08245850586413
"Sum of all absolute correlations","PIST",0.138570446127384,0.482713139301165,0.211936671679173,0.203529185874208,0.406763165196179,0.396267042072763,0.469548308542773,0.460174057070257,0.41486794132637,0.293454503428414,0.576386799350465,0.534788406916651
