"Species","coef","significant","significant2","ci.lower","ci.upper","variable","month"
"CACO",-0.0832228237062187,FALSE,FALSE,-0.294778251386618,0.123143080732069,"Tmean","prev.oct"
"CACO",-0.0235107858250304,FALSE,FALSE,-0.247484147822355,0.204911809234945,"Tmean","prev.nov"
"CACO",0.0112119048433735,FALSE,FALSE,-0.186051520805793,0.243376002357172,"Tmean","prev.dec"
"CACO",0.0182603283986915,FALSE,FALSE,-0.18364793006272,0.22353658530129,"Tmean","curr.jan"
"CACO",-0.0602444745328662,FALSE,FALSE,-0.249049100962782,0.122010893396735,"Tmean","curr.feb"
"CACO",-0.131247587973765,FALSE,FALSE,-0.324590360065667,0.0923899619150958,"Tmean","curr.mar"
"CACO",0.0412052661197507,FALSE,FALSE,-0.196151553556449,0.270413903551064,"Tmean","curr.apr"
"CACO",-0.164005713889475,FALSE,FALSE,-0.373328444297533,0.0344658531758047,"Tmean","curr.may"
"CACO",-0.282393656826585,TRUE,TRUE,-0.451270829091874,-0.101932632275603,"Tmean","curr.jun"
"CACO",-0.16173158644925,FALSE,FALSE,-0.376476509121801,0.10333110513616,"Tmean","curr.jul"
"CACO",-0.0558184968586396,FALSE,FALSE,-0.237500056083349,0.139828731242446,"Tmean","curr.aug"
"CACO",0.0736524175942898,FALSE,FALSE,-0.115091741330424,0.246240679285152,"Tmax","prev.apr"
"CACO",-0.0694900422808168,FALSE,FALSE,-0.288699958523977,0.170857516866074,"Tmax","prev.may"
"CACO",0.0271672677021262,FALSE,FALSE,-0.19495550257445,0.249605815895657,"Tmax","prev.jun"
"CACO",0.010755010792657,FALSE,FALSE,-0.18368766982498,0.191360997457833,"Tmax","prev.jul"
"CACO",-0.242105062258053,TRUE,FALSE,-0.442986045869246,-0.0270829955520061,"Tmax","prev.aug"
"CACO",-0.193178653880914,FALSE,FALSE,-0.369276963303284,0.00847377625777156,"Tmax","prev.sep"
"CACO",-0.0736939685837775,FALSE,FALSE,-0.287790111934469,0.152465000782111,"Tmax","prev.oct"
"CACO",-0.06591448897514,FALSE,FALSE,-0.286225541333021,0.167077207012578,"Tmax","prev.nov"
