year	corrs	rbar	sdev	serr	eps 	cores
  1840.	     1.	 -0.2201	  0.0000	  0.0000	 -0.5645	   2.00
  1860.	     1.	 -0.1823	  0.0000	  0.0000	 -2.3960	   4.57
  1880.	     3.	  0.7893	  0.0865	  0.0500	  0.9822	  14.70
  1900.	   105.	  0.3990	  0.2784	  0.0272	  0.9473	  27.10
  1920.	   465.	  0.2445	  0.3536	  0.0164	  0.9147	  33.15
  1940.	   496.	  0.1583	  0.3135	  0.0141	  0.8687	  35.17
  1960.	   630.	  0.2286	  0.3446	  0.0137	  0.9149	  36.28
  1980.	   630.	  0.2564	  0.3221	  0.0128	  0.9269	  36.78
