year	corrs	rbar	sdev	serr	eps 	cores
  1840.	     1.	 -0.2487	  0.3240	  0.0000	 -0.6621	   2.00
  1860.	     1.	  0.0510	  0.3240	  0.0000	  0.1973	   4.57
  1880.	     3.	  0.7153	  0.1092	  0.0631	  0.9736	  14.70
  1900.	   105.	  0.4830	  0.2121	  0.0207	  0.9620	  27.10
  1920.	   465.	  0.3073	  0.2863	  0.0133	  0.9363	  33.15
  1940.	   496.	  0.1894	  0.2842	  0.0128	  0.8916	  35.17
  1960.	   630.	  0.2455	  0.2689	  0.0107	  0.9219	  36.28
  1980.	   630.	  0.1987	  0.2572	  0.0102	  0.9012	  36.78
