year	corrs	rbar	sdev	serr	eps 	cores
  1840.	     6.	  0.1062	  0.2458	  0.1003	  0.3497	   4.53
  1860.	    10.	  0.1107	  0.4080	  0.1290	  0.5088	   8.32
  1880.	    15.	  0.6314	  0.1445	  0.0373	  0.9719	  20.17
  1900.	   210.	  0.3493	  0.3063	  0.0211	  0.9505	  35.80
  1920.	   741.	  0.2533	  0.3676	  0.0135	  0.9445	  50.13
  1940.	  1176.	  0.1406	  0.3486	  0.0102	  0.9076	  60.08
  1960.	  1891.	  0.2037	  0.3517	  0.0081	  0.9426	  64.18
  1980.	  2080.	  0.1841	  0.3699	  0.0081	  0.9369	  65.78
