 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000       0.00271         0.00178         0.00920
  0.01429       0.01771         0.00662         0.03421
  0.02857       0.04440         0.01066         0.05248
  0.04286       0.04731         0.00923         0.04308
  0.05714       0.06487         0.01615         0.06074
  0.07143       0.09866         0.02390         0.08160
  0.08571       0.05545         0.01307         0.03972
  0.10000       0.03075         0.00852         0.02012
  0.11429       0.03148         0.01087         0.02342
  0.12857       0.02124         0.01036         0.01928
  0.14286       0.02052         0.01383         0.02162
  0.15714       0.01662         0.01196         0.01755
  0.17143       0.00663         0.00540         0.00678
  0.18571       0.00289         0.00313         0.00329
  0.20000       0.00810         0.00844         0.00818
  0.21429       0.01257         0.01376         0.01274
  0.22857       0.01169         0.01422         0.01160
  0.24286       0.00874         0.01174         0.00886
  0.25714       0.00964         0.01427         0.01005
  0.27143       0.01342         0.02196         0.01488
  0.28571       0.00868         0.01496         0.00955
  0.30000       0.00425         0.00592         0.00356
  0.31429       0.00448         0.00624         0.00345
  0.32857       0.00412         0.00723         0.00395
  0.34286       0.00357         0.00745         0.00371
  0.35714       0.00444         0.00921         0.00439
  0.37143       0.00662         0.01404         0.00645
  0.38571       0.01138         0.02483         0.01140
  0.40000       0.01041         0.02379         0.01055
  0.41429       0.00504         0.01245         0.00534
  0.42857       0.00520         0.01163         0.00486
  0.44286       0.00476         0.00991         0.00413
  0.45714       0.00202         0.00507         0.00193
  0.47143       0.00212         0.00597         0.00238
  0.48571       0.00330         0.00834         0.00326
  0.50000       0.00196         0.00465         0.00180
