"climate.data","type.start","start.year","end.year","variable","mean","sd"
"CRU_SCBI_1901_2016","Going_back_to_1980",1980,2009,"vap",11.9008335629944,6.6334449272169
"CRU_SCBI_1901_2016","Going_back_to_1980",1980,2009,"wet",11.1094719938917,2.94550063265354
"CRU_SCBI_1901_2016","Going_back_to_1980",1980,2009,"deficit",-1.57277776291667,53.6575615325986
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_as_far_as_possible",1868,2009,"PCP",3.32010703363914,1.72370505934478
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_as_far_as_possible",1868,2009,"TAVG",53.2930428134557,15.3397076562442
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_as_far_as_possible",1868,2009,"PDSI",-0.0560168195718654,2.00165863656744
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_as_far_as_possible",1868,2009,"PHDI",-0.0147477064220183,2.14159695163363
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_as_far_as_possible",1868,2009,"ZNDX",-0.00167431192660551,1.93451666596013
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_as_far_as_possible",1868,2009,"PMDI",-0.0268501529051988,1.97952739535848
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_as_far_as_possible",1868,2009,"SP01",-0.00397553516819572,1.00613897106082
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_as_far_as_possible",1868,2009,"TMIN",42.1961009174312,14.7452115115652
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_as_far_as_possible",1868,2009,"TMAX",64.3850152905199,16.0270292518897
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_as_far_as_possible",1868,2009,"PDSI_prewhiten",0.000949454043038557,1.05452325511759
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_as_far_as_possible",1868,2009,"PHDI_prewhiten",3.17722673255158e-05,0.936440627796367
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_as_far_as_possible",1868,2009,"PMDI_prewhiten",0.00139903910526381,1.04126001609439
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1920",1920,2009,"PCP",3.33042592592593,1.74262194304978
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1920",1920,2009,"TAVG",53.4814814814815,15.2469705473197
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1920",1920,2009,"PDSI",-0.0987685185185185,2.04766266584039
