"Summary_type","Species","PCP","PDSI","PDSI_prewhiten","PHDI","PHDI_prewhiten","PMDI","PMDI_prewhiten","SP01","SP02","SP03","SP06","SP09","SP12","SP24","TAVG","TMAX","TMIN","ZNDX"
"Sum of all absolute correlations","All",25.2203400723361,32.8322465854291,23.9871114142671,34.5674325108612,26.5158619716122,34.8154747305511,25.4596737067059,25.9244251996773,29.3032189103594,29.4663937594116,32.9860285717509,33.606717970633,33.8484496327514,23.0266773917534,21.8131977137419,26.7516659649319,16.8319081979646,28.5744427713379
"Sum of all absolute correlations","CACO",2.08260267351334,3.34025543238393,2.02039719354512,3.51222382337336,2.17951081089396,3.66747479258376,2.11785216118047,2.15520969233732,2.26820443096026,2.47884160584508,3.06697378989426,3.41662432269067,3.49467984722224,1.91070770659315,1.44457803262772,1.98503166751071,1.0246335408553,2.39424900342905
"Sum of all absolute correlations","CAGL",1.38128105287265,1.8482938182044,1.33835653521882,2.19656796244822,1.58747149064428,2.2106784516845,1.41550163536849,1.43178248261851,1.62587585214245,1.73616491319411,2.10144769592473,2.23611100768515,2.35725109642768,2.42619042291898,1.36096036441585,1.60546237115238,1.09625885446587,1.68441402339076
"Sum of all absolute correlations","CAOV",1.51321267599619,1.20300056693299,1.15520446337383,1.6092845141363,1.81675274545462,1.40769230634594,1.53810650149919,1.50657249787981,1.44096415739658,1.10907864195287,1.22833284873031,1.44610530688181,1.89791550617609,2.12496718622731,1.05385490639913,1.28254661214028,1.06014405057658,1.62271547553605
"Sum of all absolute correlations","CATO",1.29668118781547,0.955754245821917,1.70385686168556,1.65948067361456,1.59032755893657,1.38089541511163,1.44096727345017,1.28019043607034,1.70882021669157,1.54010157997672,1.57121443905948,1.56995718907436,1.65132608748596,1.51455964905845,1.63969041134464,1.69164863737793,1.35504085899358,1.40458679566665
"Sum of all absolute correlations","FAGR",1.90754760265395,2.97968293595444,2.14630493379664,2.87398117996635,2.09744196870273,2.95556104226585,2.08902256893995,2.14120231306063,2.39482591799432,2.48882455238229,2.51769908548038,2.72221354320914,2.80223199049037,1.06879926162623,2.21220079496964,2.63944265149074,1.6034048174475,2.26335492678095
"Sum of all absolute correlations","FRAM",1.73880018831761,1.84800452563866,1.69404171664515,1.77599435311606,1.77656733022259,1.9779199715855,1.7484667811873,1.74520378134701,2.06981829914963,2.19764202913098,1.83923781713633,1.81348698455678,1.9310280731629,1.12397304837008,1.82503362338577,2.1191785281786,1.48283486268773,2.03158312962037
"Sum of all absolute correlations","FRNI",1.75615968529254,3.34357616469241,1.59571710121924,3.65497760545255,1.93429993580031,3.36182891383508,1.69847966063432,1.63605550349669,1.85671942012574,2.21127731294563,2.73326955841056,3.12497534394242,2.97726704792418,1.89871340100944,1.35079243083283,1.42947001503862,1.43622731015148,1.74268567385774
"Sum of all absolute correlations","JUNI",1.82806604169214,1.89412771876951,1.50137001687979,2.10821174833313,1.6958666359413,2.14240897403333,1.70059109567047,1.84568607416865,2.14565729382708,1.96465746678088,2.06622330367068,1.86698560560601,1.81556906022461,1.37349144366849,1.35046864868695,1.78776366324038,1.06657421074834,2.04212303356386
"Sum of all absolute correlations","LITU",2.16847823582491,3.24207077322846,1.93744417177277,2.64078349596813,1.85863051180235,3.10894183185213,2.21577491609534,2.40138187845546,2.75405613410263,2.91815314461796,3.04064942730118,2.83194976881136,2.51939872160092,0.701071438049313,1.49552883061349,2.15197947567023,1.16400775612027,2.49542204783502
