"Species","coef","significant","ci.lower","ci.upper","variable","month"
"CACO",0.0177759034118423,FALSE,-0.187502258332885,0.200775243875531,"Tmin","prev.apr"
"CACO",-0.156507927730273,FALSE,-0.364495470311067,0.0571870374636747,"Tmin","prev.may"
"CACO",0.0285215731844608,FALSE,-0.256239570038018,0.30247941026725,"Tmin","prev.jun"
"CACO",0.0158498317912931,FALSE,-0.188781911698157,0.232578709268528,"Tmin","prev.jul"
"CACO",0.00408554477456763,FALSE,-0.260303976461627,0.250314911302146,"Tmin","prev.aug"
"CACO",-0.00963141054096526,FALSE,-0.208566202305268,0.215770240185635,"Tmin","prev.sep"
"CACO",-0.0548533841070577,FALSE,-0.252229012041423,0.144242564912973,"Tmin","prev.oct"
"CACO",0.0524377208058113,FALSE,-0.201416974015692,0.267638561081524,"Tmin","prev.nov"
"CACO",0.087732730591438,FALSE,-0.116870110560722,0.300147903054732,"Tmin","prev.dec"
"CACO",0.034449741812636,FALSE,-0.176702596730025,0.241831796553329,"Tmin","curr.jan"
"CACO",-0.0280346776402767,FALSE,-0.206361021665092,0.165295596249427,"Tmin","curr.feb"
"CACO",-0.0793905985055899,FALSE,-0.26191906269286,0.129128997792408,"Tmin","curr.mar"
"CACO",-0.0710847913416588,FALSE,-0.308815802826355,0.150701159556715,"Tmin","curr.apr"
"CACO",-0.153633862578834,FALSE,-0.339300469649872,0.0372752420266292,"Tmin","curr.may"
"CACO",-0.220027518679901,TRUE,-0.422381266264084,-0.0175769249690505,"Tmin","curr.jun"
"CACO",-0.0393795109148167,FALSE,-0.247947723435052,0.184550359725425,"Tmin","curr.jul"
"CACO",0.0465003714832936,FALSE,-0.136652785074002,0.238510612503194,"Tmin","curr.aug"
"CACO",0.0548358842801881,FALSE,-0.13947515076062,0.238375050905436,"Tmean","prev.apr"
"CACO",-0.124093514684934,FALSE,-0.348935231056458,0.123912901911744,"Tmean","prev.may"
"CACO",0.0189231638613655,FALSE,-0.263352970694137,0.304320486503226,"Tmean","prev.jun"
"CACO",0.00832430562997942,FALSE,-0.182516898039022,0.208043529522944,"Tmean","prev.jul"
"CACO",-0.139882146376679,FALSE,-0.38027249590725,0.106246373746831,"Tmean","prev.aug"
"CACO",-0.103746538745457,FALSE,-0.319643417096233,0.0971214624646959,"Tmean","prev.sep"
"CACO",-0.0776025275087732,FALSE,-0.26461036084557,0.128944169360464,"Tmean","prev.oct"
"CACO",-0.0193302942923322,FALSE,-0.24435635389157,0.204990192982585,"Tmean","prev.nov"
"CACO",0.0197368399026422,FALSE,-0.208707593268304,0.24841216041469,"Tmean","prev.dec"
"CACO",0.00783543064211423,FALSE,-0.20344120207812,0.215048439586256,"Tmean","curr.jan"
