year	num	seg	age	raw	std	res	ars
   1877	   1.	 133.000	   1.000	   1.071	   1.041	   1.019	   1.024
   1878	   1.	 133.000	   2.000	   0.912	   0.989	   0.959	   0.971
   1879	   1.	 133.000	   3.000	   0.813	   0.953	   0.963	   0.948
   1880	   1.	 133.000	   4.000	   0.864	   0.957	   0.997	   0.969
   1881	   1.	 133.000	   5.000	   1.114	   1.015	   1.052	   1.036
   1882	   1.	 133.000	   6.000	   1.348	   1.069	   1.061	   1.079
   1883	   1.	 133.000	   7.000	   1.794	   1.183	   1.129	   1.171
   1884	   1.	 133.000	   8.000	   1.707	   1.149	   1.009	   1.098
   1885	   2.	 129.000	   5.000	   1.240	   0.987	   0.906	   0.956
   1886	   4.	 128.250	   3.500	   1.608	   1.111	   1.079	   1.056
   1887	   4.	 128.250	   4.500	   1.368	   0.981	   0.933	   0.962
   1888	   4.	 128.250	   5.500	   0.928	   0.834	   0.875	   0.855
   1889	   4.	 128.250	   6.500	   0.847	   0.811	   0.973	   0.897
   1890	   4.	 128.250	   7.500	   1.127	   0.879	   1.020	   0.966
   1891	   4.	 128.250	   8.500	   1.817	   1.151	   1.076	   1.058
   1892	   4.	 128.250	   9.500	   2.245	   1.236	   1.131	   1.162
   1893	   4.	 128.250	  10.500	   1.799	   1.042	   0.931	   1.015
   1894	   5.	 125.800	   9.400	   2.285	   1.082	   1.064	   1.071
   1895	   6.	 124.000	   8.833	   2.229	   1.330	   1.173	   1.211
   1896	   6.	 124.000	   9.833	   2.129	   1.286	   1.039	   1.149
   1897	   6.	 124.000	  10.833	   1.962	   1.102	   0.980	   1.057
   1898	   6.	 124.000	  11.833	   1.775	   1.073	   0.976	   1.006
   1899	   6.	 124.000	  12.833	   1.687	   1.052	   0.981	   0.984
   1900	   6.	 124.000	  13.833	   2.112	   1.125	   1.187	   1.179
   1901	   6.	 124.000	  14.833	   1.707	   1.119	   0.955	   1.048
   1902	   7.	 121.714	  13.714	   1.958	   1.110	   0.997	   1.022
   1903	   8.	 119.875	  13.000	   1.994	   1.033	   0.947	   0.958
   1904	  10.	 117.100	  11.400	   2.234	   1.159	   1.109	   1.087
