"Species","Climate_data","variable","month","ANPP_response"
"caco","CRU_SCBI_1901_2016","cld","prev.apr",1.93069630822218e-05
"caco","CRU_SCBI_1901_2016","cld","prev.may",-0.00347884033563393
"caco","CRU_SCBI_1901_2016","cld","prev.jun",-0.00117677250441844
"caco","CRU_SCBI_1901_2016","cld","prev.jul",0.0009114445426745
"caco","CRU_SCBI_1901_2016","cld","prev.aug",2.93201079496971e-05
"caco","CRU_SCBI_1901_2016","cld","prev.sep",0.000645917793855755
"caco","CRU_SCBI_1901_2016","cld","prev.oct",-0.00293332339172689
"caco","CRU_SCBI_1901_2016","cld","prev.nov",0.000894398604264129
"caco","CRU_SCBI_1901_2016","cld","prev.dec",-0.000369055364672639
"caco","CRU_SCBI_1901_2016","cld","curr.jan",-0.000462759908392368
"caco","CRU_SCBI_1901_2016","cld","curr.feb",-0.000794812050619043
"caco","CRU_SCBI_1901_2016","cld","curr.mar",0.000561959896723755
"caco","CRU_SCBI_1901_2016","cld","curr.apr",-0.00131828197502277
"caco","CRU_SCBI_1901_2016","cld","curr.may",0.000842696623044904
"caco","CRU_SCBI_1901_2016","cld","curr.jun",-0.000290549819846216
"caco","CRU_SCBI_1901_2016","cld","curr.jul",-0.000338075704085821
"caco","CRU_SCBI_1901_2016","cld","curr.aug",-0.000966212430621768
"caco","CRU_SCBI_1901_2016","dtr","prev.apr",-0.000157587063788329
"caco","CRU_SCBI_1901_2016","dtr","prev.may",-0.000633190660354176
"caco","CRU_SCBI_1901_2016","dtr","prev.jun",-0.00198429113706022
"caco","CRU_SCBI_1901_2016","dtr","prev.jul",-0.00199482468903737
"caco","CRU_SCBI_1901_2016","dtr","prev.aug",-0.000999617658986766
"caco","CRU_SCBI_1901_2016","dtr","prev.sep",-0.0018135989129979
"caco","CRU_SCBI_1901_2016","dtr","prev.oct",0.00093487432389042
"caco","CRU_SCBI_1901_2016","dtr","prev.nov",-0.00233030419224691
"caco","CRU_SCBI_1901_2016","dtr","prev.dec",-0.00157170503675039
"caco","CRU_SCBI_1901_2016","dtr","curr.jan",0.000119724038875089
"caco","CRU_SCBI_1901_2016","dtr","curr.feb",-0.00134691885079552
"caco","CRU_SCBI_1901_2016","dtr","curr.mar",-0.00140269932879342
"caco","CRU_SCBI_1901_2016","dtr","curr.apr",0.00251096349184896
"caco","CRU_SCBI_1901_2016","dtr","curr.may",-0.0006987284550098
"caco","CRU_SCBI_1901_2016","dtr","curr.jun",0.000129846664889775
"caco","CRU_SCBI_1901_2016","dtr","curr.jul",0.000416998368924209
"caco","CRU_SCBI_1901_2016","dtr","curr.aug",-0.00130539229471479
"caco","CRU_SCBI_1901_2016","frs","prev.oct",0.00271493893650073
"caco","CRU_SCBI_1901_2016","frs","prev.nov",0.000717402658627526
"caco","CRU_SCBI_1901_2016","frs","prev.dec",0.00130432792968953
"caco","CRU_SCBI_1901_2016","frs","curr.jan",-0.000325214070362418
"caco","CRU_SCBI_1901_2016","frs","curr.feb",-0.00143626250750508
"caco","CRU_SCBI_1901_2016","frs","curr.mar",0.000515077512149662
"caco","CRU_SCBI_1901_2016","frs","curr.apr",0.00231729802609192
"caco","CRU_SCBI_1901_2016","frs","curr.may",0.000649184758480387
"caco","CRU_SCBI_1901_2016","pet","prev.apr",-0.00136367948264162
"caco","CRU_SCBI_1901_2016","pet","prev.may",-0.00114659792736614
"caco","CRU_SCBI_1901_2016","pet","prev.jun",-0.00149839780274302
"caco","CRU_SCBI_1901_2016","pet","prev.jul",-0.00265291591671202
"caco","CRU_SCBI_1901_2016","pet","prev.aug",-0.00270197550272415
"caco","CRU_SCBI_1901_2016","pet","prev.sep",-0.00400091163675905
"caco","CRU_SCBI_1901_2016","pet","prev.oct",-0.00121398030296561
"caco","CRU_SCBI_1901_2016","pet","prev.nov",-0.00221287495038598
"caco","CRU_SCBI_1901_2016","pet","prev.dec",-0.00237072426658462
"caco","CRU_SCBI_1901_2016","pet","curr.jan",-0.000648026566713419
"caco","CRU_SCBI_1901_2016","pet","curr.feb",-0.000435506026892376
"caco","CRU_SCBI_1901_2016","pet","curr.mar",-0.00245428230588353
"caco","CRU_SCBI_1901_2016","pet","curr.apr",0.000676908572268344
"caco","CRU_SCBI_1901_2016","pet","curr.may",-0.000448758799845614
"caco","CRU_SCBI_1901_2016","pet","curr.jun",-0.00116302930089093
"caco","CRU_SCBI_1901_2016","pet","curr.jul",-0.00108813176371162
"caco","CRU_SCBI_1901_2016","pet","curr.aug",-0.00187375733594175
"caco","CRU_SCBI_1901_2016","pet_sum","prev.apr",-0.00139378355676985
"caco","CRU_SCBI_1901_2016","pet_sum","prev.may",-0.0011814534130012
"caco","CRU_SCBI_1901_2016","pet_sum","prev.jun",-0.00152965559387753
"caco","CRU_SCBI_1901_2016","pet_sum","prev.jul",-0.00260417853966735
"caco","CRU_SCBI_1901_2016","pet_sum","prev.aug",-0.00270196757549623
"caco","CRU_SCBI_1901_2016","pet_sum","prev.sep",-0.00407200489623349
"caco","CRU_SCBI_1901_2016","pet_sum","prev.oct",-0.00124377990093232
"caco","CRU_SCBI_1901_2016","pet_sum","prev.nov",-0.00235506104909925
"caco","CRU_SCBI_1901_2016","pet_sum","prev.dec",-0.00238673782681452
