 FREQUENCY   POWER_STD_CRN   POWER_RES_CRN   POWER_ARS_CRN
  0.00000      -0.00046         0.00165         0.00707
  0.01064       0.00736         0.00148         0.00723
  0.02128       0.02389         0.00265         0.01336
  0.03191       0.04254         0.00600         0.02977
  0.04255       0.05341         0.00886         0.04184
  0.05319       0.04200         0.00772         0.03531
  0.06383       0.02968         0.00821         0.03140
  0.07447       0.02859         0.01124         0.03651
  0.08511       0.04792         0.01645         0.04648
  0.09574       0.03019         0.01096         0.02987
  0.10638       0.00898         0.00294         0.00782
  0.11702       0.01141         0.00294         0.00668
  0.12766       0.01012         0.00180         0.00425
  0.13830       0.01459         0.00374         0.00566
  0.14894       0.03025         0.01323         0.01844
  0.15957       0.02992         0.01668         0.02298
  0.17021       0.01376         0.00985         0.01247
  0.18085       0.00717         0.00448         0.00481
  0.19149       0.00488         0.00219         0.00222
  0.20213       0.00417         0.00225         0.00232
  0.21277       0.00271         0.00211         0.00212
  0.22340       0.00380         0.00470         0.00424
  0.23404       0.00708         0.00762         0.00654
  0.24468       0.01085         0.00866         0.00653
  0.25532       0.01165         0.00850         0.00565
  0.26596       0.01355         0.01117         0.00759
  0.27660       0.01131         0.01034         0.00723
  0.28723       0.00596         0.00636         0.00425
  0.29787       0.00368         0.00474         0.00283
  0.30851       0.00358         0.00423         0.00265
  0.31915       0.00445         0.00619         0.00380
  0.32979       0.00454         0.00594         0.00355
  0.34043       0.00470         0.00569         0.00301
  0.35106       0.00298         0.00473         0.00204
  0.36170       0.00307         0.00601         0.00277
  0.37234       0.00499         0.00638         0.00326
  0.38298       0.00650         0.00818         0.00415
  0.39362       0.00822         0.01283         0.00592
  0.40426       0.00485         0.00750         0.00307
  0.41489       0.00204         0.00371         0.00132
  0.42553       0.00365         0.00839         0.00348
  0.43617       0.00708         0.01256         0.00536
  0.44681       0.00613         0.01006         0.00426
  0.45745       0.00219         0.00541         0.00241
  0.46809       0.00084         0.00276         0.00119
  0.47872       0.00141         0.00408         0.00181
  0.48936       0.00257         0.00612         0.00251
  0.50000       0.00299         0.00614         0.00228
