"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",-0.0246598909709356,-0.113328662859331,-0.0244847826325935,-0.229558394611206,0.0569727871786244,0.114089221359613,0.116503653594109,0.1837910474372,0.127091019450668,0.036554246255713,-0.105361807190737,0.175718727970124,-0.0529108345631115,0.221129496309913,0.125738017108363,0.140390443395339,-0.230889248779844
"dtr",0.0558672860943455,0.146194566695631,0.110083470584111,0.143631275548009,-0.0772534484027444,-0.186881885384041,-0.072155221299389,-0.0831958997461824,-0.212735442912007,-0.0121120517885244,-0.100605074091374,-0.311318820526503,0.067469334550245,-0.104255645073715,-0.0908129388223427,-0.255925699025911,-0.201490703896759
"pet",0.0439701091513133,0.00231779385572604,-0.122637717667798,0.205779848538723,-0.00412978586039923,-0.158381091524604,-0.167337108687774,-0.348672028137705,-0.2328383068927,-0.0333982586087763,-0.1345460667408,-0.290795457444053,0.0888904570166251,-0.272814871005562,-0.20473448974594,-0.247083361400647,-0.04176784436056
"PETminusPRE",0.00453706072015176,-0.0239576825187017,0.033915263638484,0.0860287756850348,-0.0927889394469191,-0.0911047402580535,-0.0104806199651032,-0.0459958957959738,-0.243531479394176,0.0453707017532178,-0.00094870340294006,-0.263486449273343,0.156957434386347,-0.188902765147988,-0.141563596741836,-0.349111343604384,-0.30306868971311
"pre",0.00891761191589954,0.0300478306160378,-0.0602095792109258,-0.0495039153638109,0.104196456501756,0.0727902463421819,-0.0236883429090104,-0.00765980772468852,0.196654075284934,-0.0558836916988456,-0.0342151340828776,0.181249279300123,-0.158925176488554,0.143141231027297,0.118924194737308,0.347816562666979,0.320174048202746
"tmn",0.248626064782569,-0.0458934181670776,-0.0055523738920692,0.1303602789367,0.164940830343097,0.0486915332080506,0.0446626317556113,0.0061132363039494,0.135747187473371,0.0549573205646832,-0.0854443636378197,-0.170938200850869,0.0990312640080011,-0.272497298311538,-0.0507124681126883,0.00409789372167099,0.0562071151548898
"tmp",0.234786278315677,0.00315209614851323,0.0549997550303004,0.208818655938338,0.165529924032344,-0.0484062897648674,0.0127948791008298,-0.0362384367198595,0.0895164059800299,0.0526736132381444,-0.0993947186720673,-0.252032262041289,0.118075351359461,-0.291674095616416,-0.0984882656922879,-0.155686510549538,-0.0591587294626993
"tmx",0.197734459520729,0.0373337502309035,0.0887591645616876,0.22248424993786,0.11142028530408,-0.127546419704159,-0.0263130126552645,-0.0664053479316117,0.0373161208576558,0.0517792873922426,-0.107872954668889,-0.294540312281482,0.113019215672514,-0.287838803959672,-0.114872459823192,-0.22988684718486,-0.171945673202205
"vap",0.301818960607813,0.0756505472353984,0.296471850586873,0.158842904578515,0.141124143373337,0.0108577906742108,0.107395659273582,0.253885158830926,0.272815770459392,0.0913661414938334,-0.0166256288208691,-0.13887941228078,0.0577708778734223,-0.17217246693199,0.0331309872128796,0.0756336814596997,0.0331012099219823
"wet",0.00773679303011741,0.00520388032375107,-0.0397413280297097,0.00822712825840491,0.113546030389267,0.0390485727948965,0.0762491836097349,0.0328416625449531,0.199420452736429,-0.0752002173098075,-0.0484197451951961,0.24176743569725,-0.127043631962392,0.104839622238132,0.141087382437551,0.336069506775286,0.293270161035105
"PDSI_prewhiten",-0.0854455346873297,-0.0848104002597142,-0.0791312777075157,0.0346601999792666,0.109707942986252,0.214304570246499,0.17478100120003,0.0160342849785779,0.12071451452153,-0.0527208007792415,-0.0163151919633725,0.252880525086161,-0.112481822210297,0.171795329947361,0.138801999799945,0.333359118325026,0.323116636834397
